ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
CASE MANAGEMENT SERVICES CONTRACTS,4MH01,JASA CMA QN 14 (4MH),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 BEACH   19 STREET,FAR ROCKAWAY,NY,11691,QUEENS,718-471-6677,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.593761,-73.753207,414,31,99802,4301622,4158100055,Far Rockaway-Bayswater,POINT (-73.753207 40.593761)
OLDER ADULT CENTER CONTRACTS,C8502,UJCES LUNCH CLUB OAC (C85),UNITED JEWISH COUNCIL OF THE EAST SIDE INC,15 Willett Street,NEW YORK,NY,10002,MANHATTAN,212-673-9328,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.715660,-73.982977,103,01,12,1088884,1003360005,Lower East Side,POINT (-73.982977 40.71566)
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,6HS01,OHEL - GMH HUB & SPOKE DEMO (6HS),OHEL CHILDREN'S HOME AND FAMILY SERVICES INC,1268 East 14th Street,BROOKLYN,NY,11230,BROOKLYN,718-686-3222,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.618643,-73.961112,314,44,768,3180645,3067330035,Midwood,POINT (-73.961112 40.618643)
LEGAL SERVICES CONTRACTS,1AA01,LSNYBX - LEGAL SERVICES - BX (1AA),LSNY-BRONX CORPORATION,349 EAST 149TH STREET,BRONX,NY,10451,BRONX,917-661-4500,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.816670,-73.919959,201,17,65,2000933,2023317501,Melrose South-Mott Haven North,POINT (-73.919959 40.81667)
OLDER ADULT CENTER CONTRACTS,C8302,JASA BAY EDEN OLDER ADULT CENTER (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1220 East 229th Street,BRONX,NY,10466,BRONX,718-882-3815,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.884011,-73.842204,212,12,460,2093741,2049050360,Eastchester-Edenwald-Baychester,POINT (-73.842204 40.884011)
OLDER ADULT CENTER CONTRACTS,C8401,THOMAS GUESS OAC (C84),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,2070 Clinton Avenue,BRONX,NY,10457,BRONX,718-584-2357,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.847236,-73.888101,206,15,371,2012652,2030940014,East Tremont,POINT (-73.888101 40.847236)
OLDER ADULT CENTER CONTRACTS,C7703,MOUNT LORETTO OAC (C77),STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,6581 Hylan Boulevard,STATEN ISLAND,NY,10309,STATEN ISLAND,718-984-8589,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.508809,-74.222403,503,51,198,5123970,5076640001,Annadale-Huguenot-Prince's Bay-Eltingville,POINT (-74.222403 40.508809)
OLDER ADULT CENTER CONTRACTS,C2701,COUNCIL OF PEOPLES ORGANIZATION: HALAL SENIOR CENTER (C27),COUNCIL OF PEOPLES ORGANIZATION INC.,1075-1077 Coney Island Avenue,BROOKLYN,NY,11230,BROOKLYN,718-434-3266,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.631169,-73.966466,314,45,528,3178919,3066860080,Flatbush,POINT (-73.966466 40.631169)
OLDER ADULT CENTER CONTRACTS,C8301,JASA HES OLDER ADULT CENTER (C83),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,9502 Seaview Avenue,BROOKLYN,NY,11236,BROOKLYN,718-251-3700,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.632808,-73.891220,318,46,1028,3235056,3083180008,Canarsie,POINT (-73.89122 40.632808)
OLDER ADULT CENTER CONTRACTS,C3507,ZEST FOR LIFE OAC (C35),FORT GREENE COUNCIL,261 East 21st Street,BROOKLYN,NY,11236,BROOKLYN,929-626-6020,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.648058,-73.959556,314,40,51002,3117184,3051020073,Flatbush,POINT (-73.959556 40.648058)
HOME DELIVERED MEAL SERVICE CONTRACTS,CM501,CITYMEALS ON WHEELS (CM5),CITYMEALS-ON-WHEELS,355 Lexington Ave Fl 3,NEW YORK,NY,10017,MANHATTAN,212-687-1234,Y,,,,,,,,,,,,,,,40.750245,-73.976909,106,04,80,1036147,1012950023,Murray Hill-Kips Bay,POINT (-73.976909 40.750245)
OLDER ADULT CENTER CONTRACTS,C2603,M M BETHUNE (C26),COTHOA LUNCHEON CLUB INC,1970 Amsterdam Avenue,NEW YORK,NY,10032,MANHATTAN,646-918-7710,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.833280,-73.941740,112,10,241,1076742,1021160033,Washington Heights South,POINT (-73.94174 40.83328)
HOME DELIVERED MEAL SERVICE CONTRACTS,28E02,RISEBORO HDM - BROOKLYN 2 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.704366,-73.943775,301,34,491,3071447,3030960030,East Williamsburg,POINT (-73.943775 40.704366)
OLDER ADULT CENTER CONTRACTS,C3508,GRANT SQ OAC (C35),FORT GREENE COUNCIL,19 Rogers Avenue,BROOKLYN,NY,11216,BROOKLYN,718-363-3133,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.676909,-73.952667,308,36,315,3030302,3012120006,Crown Heights North,POINT (-73.952667 40.676909)
CASE MANAGEMENT SERVICES CONTRACTS,3M901,SELFHELP - CMA - MN 4 7 (3M9),SELFHELP COMMUNITY SERVICES INC,520 8 Avenue,NEW YORK,NY,10018,MANHATTAN,212-971-7600,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.753612,-73.992417,105,03,109,1083624,1007860001,Midtown-Midtown South,POINT (-73.992417 40.753612)
OLDER ADULT CENTER CONTRACTS,C9501,CENTER FOR ADULTS LIVING WELL @ THE Y (OAC) (C95),YM YWHA OF WASHINGTON HEIGHTS AND INWOOD INC,54 Nagle Avenue,NEW YORK,NY,10040,MANHATTAN,646-738-6084,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.859993,-73.929129,112,10,285,1064146,1021720064,Washington Heights North,POINT (-73.929129 40.859993)
OLDER ADULT CENTER CONTRACTS,C0802,BERGEN BASIN INDEPENDENCE OLDER ADULT CENTER (C08),BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,114 Taylor Street,BROOKLYN,NY,11249,BROOKLYN,718-388-9242,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.705508,-73.963702,301,34,545,3059905,3021760001,Williamsburg,POINT (-73.963702 40.705508)
OLDER ADULT CENTER CONTRACTS,C1102,BRONXWORKS E. ROBERTS MOORE OAC (C11),BRONXWORKS INC,515 Jackson Avenue,BRONX,NY,10455,BRONX,718-665-5559,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.812353,-73.909401,201,08,35,2091284,2025570083,Mott Haven-Port Morris,POINT (-73.909401 40.812353)
OLDER ADULT CENTER CONTRACTS,C9302,YOUNG AT HEART SENIOR CENTER AT THE FLATBUSH YMCA (C93),YMCA OF GREATER NEW YORK,1401 Flatbush Avenue,BROOKLYN,NY,11210,BROOKLYN,212-630-9645,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.636511,-73.951539,314,45,788,3120877,3052280008,Flatbush,POINT (-73.951539 40.636511)
HOME DELIVERED MEAL SERVICE CONTRACTS,11V01,EAST SIDE HOUSE INC. (11V),EAST SIDE HOUSE INC,337 ALEXANDER AVENUE,BRONX,NY,10454,BRONX,718-665-5250,Y,,,,,,,,,,,,,,,40.812322,-73.923486,201,08,41,2090408,2023150038,Mott Haven-Port Morris,POINT (-73.923486 40.812322)
OLDER ADULT CENTER CONTRACTS,C5701,MIDDLE VILLAGE OAC (C57),RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA,69-10 75th Street,FLUSHING,NY,11379,QUEENS,718-894-3441,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.709285,-73.876664,405,30,619,4091868,4037860020,Middle Village,POINT (-73.876664 40.709285)
OLDER ADULT CENTER CONTRACTS,C6201,RIVERSTONE SENIOR LIFE SERVICES OAC (C62),RIVERSTONE SENIOR LIFE SERVICES INC.,99 Fort Washington Avenue,NEW YORK,NY,10032,MANHATTAN,212-927-5600,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.838510,-73.943738,112,10,247,1063346,1021360235,Washington Heights South,POINT (-73.943738 40.83851)
OLDER ADULT CENTER CONTRACTS,C1706,CCNS THE BAY OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,3643 Nostrand Avenue,BROOKLYN,NY,11229,BROOKLYN,718-648-2053,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.594966,-73.940825,315,46,572,3344554,3074051001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.940825 40.594966)
OLDER ADULT CENTER CONTRACTS,C3401,FOOD BANK FOR NEW YORK CITY OAC (C34),FOOD BANK FOR NEW YORK CITY,252 West 116th Street,NEW YORK,NY,10026,MANHATTAN,212-566-7855,Y,09:00,06:00,09:00,06:00,09:00,06:00,09:00,06:00,09:00,06:00,00:00,00:00,00:00,00:00,40.803860,-73.954062,110,09,218,1055248,1018310060,Central Harlem South,POINT (-73.954062 40.80386)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5501,HENRY STREET VLADECK CARES NORC (N55),HENRY STREET SETTLEMENT,351 Madison Street,NEW YORK,NY,10002,MANHATTAN,212-477-0455,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713340,-73.982772,103,01,202,1083404,1002670024,Lower East Side,POINT (-73.982772 40.71334)
OLDER ADULT CENTER CONTRACTS,C3101,EAST SIDE HOUSE BORINQUEN COURT MITCHEL OAC (C31),EAST SIDE HOUSE INC,295 East 138 Street,BRONX,NY,10454,BRONX,718-665-2168,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.810463,-73.926028,201,08,39,2129115,2023140015,Mott Haven-Port Morris,POINT (-73.926028 40.810463)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6001,ROCHDALE VILLAGE NORC (N60),ROCHDALE VILLAGE SOCIAL SERVICES INC,169-65 137TH AVENUE,JAMAICA,NY,11434,QUEENS,718-286-1541,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.672622,-73.770641,412,28,33402,4436348,4124950002,Springfield Gardens North,POINT (-73.770641 40.672622)
OLDER ADULT CENTER CONTRACTS,W1909,PSS HIGHBRIDGE GARDENS (W19),PRESBYTERIAN SENIOR SERVICES,1145 University Avenue,BRONX,NY,10452,BRONX,347-918-9185,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.837077,-73.928282,204,16,193,2095219,2025270032,Highbridge,POINT (-73.928282 40.837077)
HOME DELIVERED MEAL SERVICE CONTRACTS,33D01,STANLEY M ISAACS - HDM - MN08 11 (33D),STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 East 93rd Street,NEW YORK,NY,10128,MANHATTAN,212-360-7620,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.780904,-73.945112,108,05,152,1082367,1015730001,Yorkville,POINT (-73.945112 40.780904)
OLDER ADULT CENTER CONTRACTS,C5601,QCH FOREST HILLS OAC (C56),QUEENS COMMUNITY HOUSE INC.,108-25 62nd Drive,FLUSHING,NY,11375,QUEENS,718-699-1010,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.735910,-73.850212,406,29,745,4432108,4021590002,Forest Hills,POINT (-73.850212 40.73591)
OLDER ADULT CENTER CONTRACTS,C0401,AMICO 59TH ST SENIOR CITIZEN CTR (C04),AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO,5901 13th Avenue,BROOKLYN,NY,11219,BROOKLYN,718-972-1558,Y,10:00,06:00,10:00,06:00,10:00,06:00,10:00,06:00,10:00,06:00,10:00,06:00,10:00,06:00,40.629332,-73.998022,312,44,192,3141065,3057120001,Borough Park,POINT (-73.998022 40.629332)
OLDER ADULT CENTER CONTRACTS,W2301,SHOPP CASA BORICUA (OAC) (W23),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,910 East 172 Street 1 Floor,BRONX,NY,10460,BRONX,718-542-0222,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.834198,-73.890157,203,17,155,2010507,2029770103,Crotona Park East,POINT (-73.890157 40.834198)
OLDER ADULT CENTER CONTRACTS,C9901,JACKIE ROBINSON OLDER ADULT CENTER (C99),CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,1301 Amsterdam Avenue,NEW YORK,NY,10027,MANHATTAN,212-222-2552,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.811994,-73.957264,109,07,20901,1084095,1019640001,Morningside Heights,POINT (-73.957264 40.811994)
HOME DELIVERED MEAL SERVICE CONTRACTS,33C01,ENCORE - HDM - MN04 05 07 (33C),ENCORE COMMUNITY SERVICES,239 West 49th Street,NEW YORK,NY,10019,MANHATTAN,212-581-3490,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.761143,-73.985312,105,03,125,1024789,1010210009,Midtown-Midtown South,POINT (-73.985312 40.761143)
OLDER ADULT CENTER CONTRACTS,C3505,CHRISTOPHER BLENMAN OAC (C35),FORT GREENE COUNCIL,720 East New York Avenue,BROOKLYN,NY,11203,BROOKLYN,718-773-7400,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.662289,-73.938916,309,41,87401,3106612,3047950016,Prospect Lefferts Gardens-Wingate,POINT (-73.938916 40.662289)
OLDER ADULT CENTER CONTRACTS,W2205,JASA ROY REUTHER (W22),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,711 Seagirt Avenue,FAR ROCKAWAY,NY,11691,QUEENS,718-471-3110,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.595996,-73.742187,414,31,101002,4298968,4156100001,Far Rockaway-Bayswater,POINT (-73.742187 40.595996)
TRANSPORTATION SERVICES CONTRACTS,49901,CATHAY - TRAN INDIVIDUAL RIDES - QN EAST (499),Cathay Express Transportation,30-50 WHITESTONE EXPRESSWAY,FLUSHING,NY,11357,QUEENS,212-337-3333,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.770483,-73.835639,407,19,907,4540190,4043630100,College Point,POINT (-73.835639 40.770483)
NEW YORK CONNECTS CONTRACTS,5C401,CASC NY CONNECTS SI (5C4),COMMUNITY AGENCY FOR SENIOR CITIZENS INC,120 Stuyvesant Place Suite 409,STATEN ISLAND,NY,10301,STATEN ISLAND,718-489-3954,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.643264,-74.077159,501,49,3,5000084,5000080060,West New Brighton-New Brighton-St. George,POINT (-74.077159 40.643264)
OLDER ADULT CENTER CONTRACTS,C3503,SETH LOW SOCIAL CLUB (C35),FORT GREENE COUNCIL,137 Belmont Avenue,BROOKLYN,NY,11212,BROOKLYN,718-485-4991,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.669205,-73.905172,316,41,908,3327015,3037270001,Brownsville,POINT (-73.905172 40.669205)
HOMECARE SERVICES CONTRACTS,1HR01,PERSONAL TOUCH - HOME CARE - BX (1HR),PERSONAL-TOUCH HOME CARE OF N.Y. INC.,36-36 33rd Street,LONG ISLAND CITY,NY,11106,QUEENS,718-468-2500,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.755141,-73.928728,401,26,55,4007923,4006010001,Queensbridge-Ravenswood-Long Island City,POINT (-73.928728 40.755141)
NEW YORK CONNECTS CONTRACTS,7C401,HUDSON GUILD NY CONNECTS MN (7C4),HUDSON GUILD,119 9th Ave,NEW YORK,NY,10011,MANHATTAN,212-966-9852,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.743172,-74.003760,104,03,83,1078418,1007150010,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-74.00376 40.743172)
OLDER ADULT CENTER CONTRACTS,C3510,STUYVESANT HEIGHTS OAC (C35),FORT GREENE COUNCIL,562-574 Madison Street,BROOKLYN,NY,11221,BROOKLYN,718-230-0824,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.686471,-73.935295,303,36,293,3045125,3016450001,Stuyvesant Heights,POINT (-73.935295 40.686471)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7101,MASARYK TOWER NORC (N71),UNITED JEWISH COUNCIL OF THE EAST SIDE INC,75 Columbia Street,NEW YORK,NY,10002,MANHATTAN,212-301-8995,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.717567,-73.979986,103,02,2201,1082666,1003330001,Lower East Side,POINT (-73.979986 40.717567)
OLDER ADULT CENTER CONTRACTS,W1101,EILEEN DUGAN SENIOR CENTER (W11),AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO,378 Court Street,BROOKLYN,NY,11231,BROOKLYN,718-596-1956,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.681371,-73.996391,306,39,65,3004823,3003510031,Carroll Gardens-Columbia Street-Red Hook,POINT (-73.996391 40.681371)
OLDER ADULT CENTER CONTRACTS,C9002,WAYSIDE OUT BROWNSVILLE SOCIAL CLUB (C90),WAYSIDE OUT-REACH DEVELOPMENT INC,528 Mother Gaston Blvd,BROOKLYN,NY,11212,BROOKLYN,347-938-8453,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.665956,-73.905923,316,41,912,3325326,3035610001,Brownsville,POINT (-73.905923 40.665956)
CAREGIVER SERVICES CONTRACTS,6K101,HMH – CITYWIDE (6K1),HAMILTON MADISON HOUSE INC,100 Gold Street Lower Level,NEW YORK,NY,10038,MANHATTAN,212-349-3724,Y,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,07:00,03:00,00:00,00:00,00:00,00:00,40.710353,-74.004007,101,01,1501,1001289,1000940025,Battery Park City-Lower Manhattan,POINT (-74.004007 40.710353)
OLDER ADULT CENTER CONTRACTS,C3903,HANAC RAVENSWOOD OLDER ADULT CENTER (C39),HANAC INC.,34-35 12th Street,LONG ISLAND CITY,NY,11106,QUEENS,718-786-1550,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.763230,-73.937607,401,26,43,4430802,4005230002,Queensbridge-Ravenswood-Long Island City,POINT (-73.937607 40.76323)
OLDER ADULT CENTER CONTRACTS,C4902,KOREAN COMMUNITY SERVICES FLUSHING + SATELLITE MN9 (C49),KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC,42-15 166th Street,FLUSHING,NY,11358,QUEENS,718-886-8203,Y,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00,00:00,00:00,00:00,00:00,40.759390,-73.800335,407,19,1185,4439629,4053970006,East Flushing,POINT (-73.800335 40.75939)
HOME DELIVERED MEAL SERVICE CONTRACTS,46R01,QUEENS COMMUNITY HOUSE (46R),QUEENS COMMUNITY HOUSE INC.,108-25 62 Drive,FLUSHING,NY,11375,QUEENS,718-592-5757,Y,,,,,,,,,,,,,,,40.735910,-73.850212,406,24,745,4432108,4021590015,Forest Hills,POINT (-73.850212 40.73591)
OLDER ADULT CENTER CONTRACTS,C1711,CCNS PETE MCGUINNESS OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,715 Leonard Street,BROOKLYN,NY,11222,BROOKLYN,718-383-1940,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.729007,-73.952760,301,33,575,3333076,3025740053,Greenpoint,POINT (-73.95276 40.729007)
OLDER ADULT CENTER CONTRACTS,C4707,JCCGCI MIDWOOD OLDER ADULT CENTER (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,1625 Ocean Avenue,BROOKLYN,NY,11230,BROOKLYN,718-253-0508,Y,09:00,04:30,09:00,04:30,09:00,04:30,09:00,04:30,09:00,04:30,00:00,00:00,00:00,00:00,40.622341,-73.955743,314,45,760,3208316,3076200025,Midwood,POINT (-73.955743 40.622341)
OLDER ADULT CENTER CONTRACTS,W2206,JASA ROCKAWAY PARK (W22),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,106-20 Shore Front Parkway,FAR ROCKAWAY,NY,11694,QUEENS,718-634-3044,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.580723,-73.826713,414,32,938,4303818,4161770035,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,POINT (-73.826713 40.580723)
OLDER ADULT CENTER CONTRACTS,C9801,CROWN HEIGHTS PRESERVATION COMMITTEE CORP (C98),CROWN HEIGHTS PRESERVATION CORP,483 Albany Avenue,BROOKLYN,NY,11203,BROOKLYN,718-774-9213,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.663388,-73.939975,309,40,331,3038418,3014267501,Crown Heights South,POINT (-73.939975 40.663388)
TRANSPORTATION SERVICES CONTRACTS,49902,CATHAY - TRAN GROUP RIDES - QN EAST (499),Cathay Express Transportation,30-50 WHITESTONE EXPRESSWAY,FLUSHING,NY,11357,QUEENS,212-337-3333,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.770483,-73.835639,407,19,907,4540190,4043630100,College Point,POINT (-73.835639 40.770483)
CAREGIVER SERVICES CONTRACTS,1K501,NEIGHBORHOOD SHOPP CAREGIVER PROGRAM (1K5),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,975 Kelly Street,BRONX,NY,10459,BRONX,718-542-0006,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.822052,-73.895879,202,17,87,2114693,2027037501,Longwood,POINT (-73.895879 40.822052)
OLDER ADULT CENTER CONTRACTS,C3301,FIND AID CLINTON OAC (C33),FIND AID FOR THE AGED,530 West 55th Street,NEW YORK,NY,10019,MANHATTAN,212-757-2026,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.768258,-73.990588,104,06,135,1027059,1010830015,Clinton,POINT (-73.990588 40.768258)
OLDER ADULT CENTER CONTRACTS,C6101,RSS CENTER FOR AGELESS LIVING (C61),RIVERDALE SENIOR SERVICES INC,2600 Netherland Avenue,BRONX,NY,10463,BRONX,718-884-5900,Y,08:00,05:00,08:00,05:00,08:00,05:00,08:00,05:00,08:00,05:00,00:00,00:00,00:00,00:00,40.878744,-73.915679,208,11,29302,2083247,2057220475,Spuyten Duyvil-Kingsbridge,POINT (-73.915679 40.878744)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5701,MORNINGSIDE MRHS NORC (N57),MRHS,100 LASALLE STREET,NEW YORK,NY,10027,MANHATTAN,212-666-4000,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.813512,-73.959058,109,07,211,1084114,1019780001,Morningside Heights,POINT (-73.959058 40.813512)
OLDER ADULT CENTER CONTRACTS,3TB01,WOODSIDE OLDER ADULT CENTER (3TB),SAMARITAN DAYTOP VILLAGE INC,50-37 Newtown Road,FLUSHING,NY,11377,QUEENS,718-206-2000,Y,,,,,,,,,,,,,,,40.753724,-73.911047,401,26,163,4430993,4007360002,Astoria,POINT (-73.911047 40.753724)
OLDER ADULT CENTER CONTRACTS,C4202,HOMECREST (C42),HOMECREST COMMUNITY SERVICES INC,1413 Avenue T,BROOKLYN,NY,11229,BROOKLYN,718-376-4036,Y,:30,03:30,8 :30,03:30,8 :30,03:30,8 :30,03:30,8 :30,03:30,:,:,:,:,40.601020,-73.957543,315,48,556,3196793,3072930043,Homecrest,POINT (-73.957543 40.60102)
HOME DELIVERED MEAL SERVICE CONTRACTS,2TY01,THE CAMPAIGN AGAINST HUNGER INC. (2TY),THE CAMPAIGN AGAINST HUNGER INC,2010 Fulton Street,BROOKLYN,NY,11233,BROOKLYN,718-773-3551,Y,,,,,,,,,,,,,,,40.678643,-73.917677,303,41,301,3042111,3015490016,Ocean Hill,POINT (-73.917677 40.678643)
OLDER ADULT CENTER CONTRACTS,C1704,CCNS HOWARD BEACH OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,155-55 Cross Bay Blvd,JAMAICA,NY,11414,QUEENS,718-738-8100,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.664372,-73.841152,410,32,884,4442269,4115880075,Lindenwood-Howard Beach,POINT (-73.841152 40.664372)
