rank,priority,venue,sponsor,sponsor_center_count,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,website,notes
85,HIGH,GRANT SQ OAC,FORT GREENE COUNCIL,14,19 Rogers Avenue,Brooklyn,11216,718-363-3133,Senior Center (DFTA),C3508,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
86,HIGH,HAZEL BROOKS OAC,FORT GREENE COUNCIL,14,961 Ocean Avenue,Brooklyn,11226,347-435-3287,Senior Center (DFTA),C3514,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
87,HIGH,HUGH GILROY OAC,FORT GREENE COUNCIL,14,447 Kingsborough 4th Walk,Brooklyn,11233,718-756-8400,Senior Center (DFTA),C3511,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
88,HIGH,MARCUS GARVEY,FORT GREENE COUNCIL,14,1440 East New York Avenue,Brooklyn,11212,718-346-7167,Senior Center (DFTA),C3502,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
89,HIGH,MARIA LAWTON OAC,FORT GREENE COUNCIL,14,400 Hart Street,Brooklyn,11206,718-452-7474,Senior Center (DFTA),C3509,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
90,HIGH,REMSEN SARITA JEAN OAC,FORT GREENE COUNCIL,14,3304 Clarendon Road,Brooklyn,11210,718-282-1259,Senior Center (DFTA),C3512,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
91,HIGH,SETH LOW SOCIAL CLUB,FORT GREENE COUNCIL,14,137 Belmont Avenue,Brooklyn,11212,718-485-4991,Senior Center (DFTA),C3503,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
92,HIGH,STUYVESANT HEIGHTS OAC,FORT GREENE COUNCIL,14,562-574 Madison Street,Brooklyn,11221,718-230-0824,Senior Center (DFTA),C3510,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
93,HIGH,TERESA MOORE OAC,FORT GREENE COUNCIL,14,2702 Linden Blvd,Brooklyn,11208,347-663-7770,Senior Center (DFTA),C3513,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
94,HIGH,WILLOUGHBY OAC,FORT GREENE COUNCIL,14,105 North Portland Avenue,Brooklyn,11205,718-875-1011,Senior Center (DFTA),C3504,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
95,HIGH,ZEST FOR LIFE OAC,FORT GREENE COUNCIL,14,261 East 21st Street,Brooklyn,11236,929-626-6020,Senior Center (DFTA),C3507,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 08:00-04:00 Mon-Fri
96,HIGH,BORINQUEN PLAZA,RISEBORO COMMUNITY PARTNERSHIP INC,10,80 Seigel Street,Brooklyn,11206,718-782-6335,Senior Center (DFTA),W2001,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
97,HIGH,BREVOORT SENIOR CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,10,280 Ralph Avenue,Brooklyn,11233,347-318-3383,Senior Center (DFTA),W2002,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 09:00-05:00 Mon-Fri
98,HIGH,DIANA JONES ISC,RISEBORO COMMUNITY PARTNERSHIP INC,10,9 Noll Street,Brooklyn,11206,718-782-3601,Senior Center (DFTA),W2003,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
99,HIGH,HOPE GARDENS MULTISERVICE,RISEBORO COMMUNITY PARTNERSHIP INC,10,195 Linden Street,Brooklyn,11221,718-455-1100,Senior Center (DFTA),W2004,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
100,HIGH,PALMETTO GARDENS SENIOR CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,10,85 Palmetto Street,Brooklyn,11221,718-676-0876,Senior Center (DFTA),W2005,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
101,HIGH,RIDGEWOOD BUSHWICK,RISEBORO COMMUNITY PARTNERSHIP INC,10,319 Stanhope Street,Brooklyn,11237,718-366-3038,Senior Center (DFTA),W2006,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
102,HIGH,ROUNDTABLE SENIOR,RISEBORO COMMUNITY PARTNERSHIP INC,10,1175 Gates Avenue,Brooklyn,11206,718-443-1903,Senior Center (DFTA),W2007,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-05:30 Mon-Fri
103,HIGH,SARATOGA SQ SENIOR,RISEBORO COMMUNITY PARTNERSHIP INC,10,930 Halsey Street,Brooklyn,11233,347-425-0676,Senior Center (DFTA),W2008,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 09:00-05:00 Mon-Fri
104,HIGH,STUYVESANT GARDENS SENIOR CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,10,150 Malcolm X Boulevard,Brooklyn,11221,347-318-3313,Senior Center (DFTA),W2009,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 09:00-05:00 Mon-Fri
105,HIGH,SUMNER SENIOR CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,10,862 Park Avenue,Brooklyn,11206,718-455-8471,Senior Center (DFTA),W2010,,,,info@riseboro.org,https://riseboro.org,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 09:00-05:00 Mon-Fri
106,HIGH,JASA HES OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,9502 Seaview Avenue,Brooklyn,11236,718-251-3700,Senior Center (DFTA),C8301,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
107,HIGH,JASA LUNA PARK ANNEX,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,2880 West 12th Street,Brooklyn,11224,718-388-6865,Senior Center (DFTA),C8312,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
108,HIGH,JASA SCHEUER CONEY ISLAND OAC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,3601 Surf Ave Brooklyn NY 11224,Brooklyn,11224,718-373-3954,Senior Center (DFTA),C8306,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
109,HIGH,JASA SENIOR ALLIANCE OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,161 Corbin Place,Brooklyn,11235,718-646-4100,Senior Center (DFTA),C8307,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
110,HIGH,JASA STARRETT CITY OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,1540 Van Siclen Avenue,Brooklyn,11239,718-642-1010,Senior Center (DFTA),C8308,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
111,HIGH,JASA WILLIAMSBURG OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,18,202 Graham Avenue,Brooklyn,11206,718-388-6865,Senior Center (DFTA),C8311,,,,help@jasa.org,https://www.jasa.org,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
112,MEDIUM,BERGEN BASIN ABE STARK OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,7,103-15 Farragut Road,Brooklyn,11236,718-272-9515,Senior Center (DFTA),C0801,,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 08:00-04:00 Mon-Fri
113,MEDIUM,BERGEN BASIN INDEPENDENCE OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,7,114 Taylor Street,Brooklyn,11249,718-388-9242,Senior Center (DFTA),C0802,,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
114,MEDIUM,BERGEN BASIN MARINE PARK OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,7,3000 Fillmore Avenue,Brooklyn,11234,718-336-0275,Senior Center (DFTA),C0803,,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
115,MEDIUM,BERGEN BASIN MIDWOOD OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,7,2164 Ralph Avenue,Brooklyn,11234,718-253-5557,Senior Center (DFTA),C0804,,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
116,MEDIUM,BERGEN BASIN MILL BASIN OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,7,2075 East 68th Street,Brooklyn,11234,718-444-3850,Senior Center (DFTA),C0805,,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
117,MEDIUM,BERGEN BASIN PENN WORTMAN OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,7,530 Stanley Avenue,Brooklyn,11207,347-318-3770,Senior Center (DFTA),C0806,,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
118,MEDIUM,BERGEN BASIN VANDALIA OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,7,47 Vandalia Avenue,Brooklyn,11239,718-272-3949,Senior Center (DFTA),C0807,,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
119,MEDIUM,CPC BROOKLYN SENIOR CENTER,CHINESE AMERICAN PLANNING COUNCIL INC,4,4101 8th Avenue,Brooklyn,11232,917-922-8382,Senior Center (DFTA),C2101,,,,,https://www.cpcnyc.org,Sponsor: CHINESE AMERICAN PLANNING COUNCIL INC | Hours: 09:00-05:00 Mon-Fri
120,MEDIUM,JCCGCI CONEY ISLAND SEASIDE OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,8,3001 West 37th Street,Brooklyn,11224,718-449-6363,Senior Center (DFTA),C4701,,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
121,MEDIUM,JCCGCI HABER HOUSE OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,8,3024 West 24th Street,Brooklyn,11224,718-372-5775,Senior Center (DFTA),C4702,,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
122,MEDIUM,JCCGCI JAY-HARAMA OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,8,2600 Ocean Avenue,Brooklyn,11229,718-891-1110,Senior Center (DFTA),C4703,,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
123,MEDIUM,JCCGCI KINGS HIGHWAY OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,8,1879 East 3rd Street,Brooklyn,11223,917-596-0761,Senior Center (DFTA),C4704,,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 09:00-05:00 Mon-Fri
124,MEDIUM,JCCGCI MARIEN-HEIM OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,8,870 Ocean Parkway,Brooklyn,11230,718-438-7771,Senior Center (DFTA),C4705,,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:30-04:30 Mon-Fri
125,MEDIUM,JCCGCI MARLBORO OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,8,2298 West 8th Street,Brooklyn,11223,718-373-6161,Senior Center (DFTA),C4706,,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
126,MEDIUM,JCCGCI MIDWOOD OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,8,1625 Ocean Avenue,Brooklyn,11230,718-253-0508,Senior Center (DFTA),C4707,,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 09:00-04:30 Mon-Fri
127,MEDIUM,JCCGCI OCEAN PARKWAY OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,8,1960 East 7th Street,Brooklyn,11223,718-449–5000,Senior Center (DFTA),C4708,,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
128,MEDIUM,SAGE CTR AT STONEWALL HOUSE,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,4,271 Myrtle Avenue,Brooklyn,11201,646-518-9744,Senior Center (DFTA),C6903,,,,info@sageusa.org,https://www.sageusa.org,Sponsor: SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND | Hours: 09:00-05:00 Mon-Fri
129,MEDIUM,RAICES FARRAGUT OAC SATELLITE,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,8,228 York Street,Brooklyn,11201,718-422-1069,Senior Center (DFTA),C7207,,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
130,MEDIUM,RED HOOK NSC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,8,120 West 9th Street,Brooklyn,11231,718-269-0519,Senior Center (DFTA),C7201,,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
131,MEDIUM,TIMES PLAZA CENTER OAC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,8,460 Atlantic Avenue,Brooklyn,11217,718-694-0895,Senior Center (DFTA),C7205,,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
132,MEDIUM,WYCKOFF GARDENS NSC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,8,280 Wyckoff Street,Brooklyn,11217,718-237-1802,Senior Center (DFTA),C7202,,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
133,MEDIUM,WAYSIDE OUT BROWNSVILLE SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC,7,528 Mother Gaston Blvd,Brooklyn,11212,347-938-8453,Senior Center (DFTA),C9002,,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
134,MEDIUM,WAYSIDE OUT GLENMORE PLAZA SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC,7,1777 Pitkin Avenue,Brooklyn,11212,917-962-8276,Senior Center (DFTA),C9008,,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
135,MEDIUM,WAYSIDE OUT LANGSTON HUGHES SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC,7,301 Sutter Avenue,Brooklyn,11212,917-962-8277,Senior Center (DFTA),C9004,,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
136,MEDIUM,WAYSIDE OUT ROSETTA GASTON SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,7,460 Dumont Avenue,Brooklyn,11212,718-345-5665,Senior Center (DFTA),C9001,,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
137,MEDIUM,WAYSIDE OUT TILDEN SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,7,630 Mother Gaston Blvd,Brooklyn,11212,718-498-2990,Senior Center (DFTA),C9003,,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
138,MEDIUM,WAYSIDE OUT TOMPKINS PARK SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,7,550 Greene Avenue,Brooklyn,11216,718-638-3000,Senior Center (DFTA),C9005,,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
139,MEDIUM,WAYSIDE OUT VAN DYKE II SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,7,430 Dumont Avenue,Brooklyn,11212,718-385-1110,Senior Center (DFTA),C9007,,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
140,MEDIUM,YOUNG ISRAEL PROGRAMS MIDWOOD,YOUNG ISRAEL PROGRAMS INC,4,1694 Ocean Avenue,Brooklyn,11230,718-253-7800,Senior Center (DFTA),C9402,,,,info@youngisrael.org,https://www.youngisrael.org,Sponsor: YOUNG ISRAEL PROGRAMS INC | Hours: 08:00-04:00 Mon-Fri
141,LOW,AGUDATH ISRAEL BROOKDALE SENIOR CENTER,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC,3,817 Avenue H,Brooklyn,11230,718-434-8670,Senior Center (DFTA),C0101,,,,,,Sponsor: AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC | Hours: 08:00-04:00 Mon-Fri
142,LOW,AGUDATH ISRAEL OF AMERICA BORO PARK SENIOR CITIZENS CENTER,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC,3,1021 38th Street,Brooklyn,11219,718-854-7430,Senior Center (DFTA),C0103,,,,,,Sponsor: AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC | Hours: 08:00-04:00 Mon-Fri
143,LOW,AMICO 59TH ST SENIOR CITIZEN CTR,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO,2,5901 13th Avenue,Brooklyn,11219,718-972-1558,Senior Center (DFTA),C0401,,,,,,Sponsor: AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO | Hours: 10:00-06:00 Mon-Fri
144,LOW,EILEEN DUGAN SENIOR CENTER,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO,2,378 Court Street,Brooklyn,11231,718-596-1956,Senior Center (DFTA),W1101,,,,,,Sponsor: AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO | Hours: 08:00-04:00 Mon-Fri
145,LOW,BAY RIDGE CTR FOR HEALTH AND WELLNESS,BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,2,15 Bay Ridge Avenue,Brooklyn,11209,718-748-0650,Senior Center (DFTA),W1202,,,,,https://www.bayridgecenter.org,Sponsor: BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER | Hours: 09:00-05:00 Mon-Fri
146,LOW,BAY RIDGE CTR FOR LIFE LONG LEARNING,BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,2,15 Bay Ridge Avenue,Brooklyn,11209,718-748-0650,Senior Center (DFTA),W1201,,,,,https://www.bayridgecenter.org,Sponsor: BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER | Hours: 08:00-04:00 Mon-Fri
147,LOW,BCA 6TH AVENUE OLDER ADULT CENTER,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,3,545 60th Street,Brooklyn,11200,718-567-9311,Senior Center (DFTA),C1203,,,,,,Sponsor: BROOKLYN CHINESE-AMERICAN ASSOCIATION INC | Hours: 09:00-05:00 Mon-Fri
148,LOW,BCA BENSONHURST OLDER ADULT CENTER,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,3,6409 20th Avenue,Brooklyn,11204,718-331-3088,Senior Center (DFTA),C1201,,,,,,Sponsor: BROOKLYN CHINESE-AMERICAN ASSOCIATION INC | Hours: 08:30-04:30 Mon-Fri
149,LOW,BCA DYKER HEIGHTS OLDER ADULT CENTER,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,3,7201 8th Avenue,Brooklyn,11228,718-622-3333,Senior Center (DFTA),C1202,,,,,,Sponsor: BROOKLYN CHINESE-AMERICAN ASSOCIATION INC | Hours: 09:00-05:00 Mon-Fri
150,LOW,COUNCIL CTR FOR SENIOR CITIZENS,BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN INC.,1,1001 Quentin road,Brooklyn,11223,718-627-7680,Senior Center (DFTA),C1301,,,,,,Sponsor: BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN INC. | Hours: 09:00-05:00 Mon-Fri
151,LOW,CONGREGATION YETEV LEV --WILLIAMSBURG SATMAR,CONGREGATION YETEV LEV DSATMAR,1,125 Heyward Street,Brooklyn,11206,718-625-1608,Senior Center (DFTA),C2301,,,,,,Sponsor: CONGREGATION YETEV LEV DSATMAR | Hours: 09:00-05:00 Mon-Fri
152,LOW,COPO,COUNCIL OF PEOPLES ORGANIZATION INC.,2,1081 Coney Island Avenue,Brooklyn,11230,718-434-3266,Senior Center (DFTA),2TT01,,,,,,Sponsor: COUNCIL OF PEOPLES ORGANIZATION INC. | Hours: - Mon-Fri
153,LOW,COUNCIL OF PEOPLES ORGANIZATION: HALAL SENIOR CENTER,COUNCIL OF PEOPLES ORGANIZATION INC.,2,1075-1077 Coney Island Avenue,Brooklyn,11230,718-434-3266,Senior Center (DFTA),C2701,,,,,,Sponsor: COUNCIL OF PEOPLES ORGANIZATION INC. | Hours: 09:00-05:00 Mon-Fri
154,LOW,CROWN HEIGHTS PRESERVATION COMMITTEE CORP,CROWN HEIGHTS PRESERVATION CORP,1,483 Albany Avenue,Brooklyn,11203,718-774-9213,Senior Center (DFTA),C9801,,,,,,Sponsor: CROWN HEIGHTS PRESERVATION CORP | Hours: 09:00-05:00 Mon-Fri
155,LOW,CYPRESS HILLS ADULT SOCIAL CLUB,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC,2,475 Fountain Avenue,Brooklyn,11208,347-529-7333,Senior Center (DFTA),C2802,,,,,,Sponsor: CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC | Hours: 08:15-04:15 Mon-Fri
156,LOW,CYPRESS HILLS FULTON STREET SENIOR CITIZENS CENTER,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC,2,3208 Fulton Street,Brooklyn,11208,718-235-0064,Senior Center (DFTA),C2801,,,,,,Sponsor: CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC | Hours: 08:15-04:15 Mon-Fri
157,LOW,DORCHESTER SENIOR CITIZENS CENTER OAC,DORCHESTER SENIOR CITIZENS CENTER INC,1,1419 Dorchester Road,Brooklyn,11226,718-941-6700,Senior Center (DFTA),C2901,,,,,,Sponsor: DORCHESTER SENIOR CITIZENS CENTER INC | Hours: 08:00-04:00 Mon-Fri
158,LOW,BENSONHURST SENIOR CENTER,EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST,1,7802 Bay Parkway,Brooklyn,11214,718-331-6800,Senior Center (DFTA),C3201,,,,,,Sponsor: EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST | Hours: 08:00-04:00 Mon-Fri
159,LOW,PARK SLOPE CTR FOR SUCCESSFUL AGING,HEIGHTS AND HILLS INC.,1,463A 7th Street,Brooklyn,11215,718-832-3726,Senior Center (DFTA),C4001,,,,,,Sponsor: HEIGHTS AND HILLS INC. | Hours: 08:00-04:00 Mon-Fri
160,LOW,HOMECREST,HOMECREST COMMUNITY SERVICES INC,2,1413 Avenue T,Brooklyn,11229,718-376-4036,Senior Center (DFTA),C4202,,,,,https://www.homecrest.org,Sponsor: HOMECREST COMMUNITY SERVICES INC | Hours: :30-03:30 Mon-Fri
161,LOW,HOMECREST BENSONHURST OAC & AVE T BROOKLYN,HOMECREST COMMUNITY SERVICES INC,2,6915 15th Avenue,Brooklyn,11228,718-621-7960,Senior Center (DFTA),C4201,,,,,https://www.homecrest.org,Sponsor: HOMECREST COMMUNITY SERVICES INC | Hours: 8 :00-3 :00 Mon-Fri
162,LOW,POLISH & SLAVIC CTR KRAKUS OAC (+ SOCIAL SVS),POLISH & SLAVIC CENTER INC,2,176 Java Street,Brooklyn,11222,718-383-5290,Senior Center (DFTA),C5501,,,,info@polishslaviccenter.org,https://polishslaviccenter.org,Sponsor: POLISH & SLAVIC CENTER INC | Hours: 09:00-04:00 Mon-Fri
163,LOW,SBH OLDER ADULT CENTER - SENIOR PAVILION,SBH COMMUNITY SERVICE NETWORKINC.,1,1963 McDonald Avenue,Brooklyn,11223,718-787-1100,Senior Center (DFTA),C6601,,,,,,Sponsor: SBH COMMUNITY SERVICE NETWORKINC. | Hours: 08:30-04:30 Mon-Fri
164,LOW,SEPHARDIC MULTI SERVICES SENIOR CITIZENS CENTER,SEPHARDIC MULTI SERVICES SENIOR CITIZEN CENTER INC,1,485 Kings Hwy,Brooklyn,11223,718-336-1300,Senior Center (DFTA),C6801,,,,,,Sponsor: SEPHARDIC MULTI SERVICES SENIOR CITIZEN CENTER INC | Hours: 08:00-04:00 Mon-Fri
