venue,sponsor,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,notes
CROWN HEIGHTS PRESERVATION COMMITTEE CORP,CROWN HEIGHTS PRESERVATION CORP,483 Albany Avenue,Brooklyn,11203,718-774-9213,Senior Center (DFTA),C9801,,,,,Sponsor: CROWN HEIGHTS PRESERVATION CORP | Hours: 09:00-05:00 Mon-Fri
CYPRESS HILLS ADULT SOCIAL CLUB,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC,475 Fountain Avenue,Brooklyn,11208,347-529-7333,Senior Center (DFTA),C2802,,,,,Sponsor: CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC | Hours: 08:15-04:15 Mon-Fri
CYPRESS HILLS FULTON STREET SENIOR CITIZENS CENTER,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC,3208 Fulton Street,Brooklyn,11208,718-235-0064,Senior Center (DFTA),C2801,,,,,Sponsor: CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC | Hours: 08:15-04:15 Mon-Fri
DIANA JONES ISC,RISEBORO COMMUNITY PARTNERSHIP INC,9 Noll Street,Brooklyn,11206,718-782-3601,Senior Center (DFTA),W2003,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
DORCHESTER SENIOR CITIZENS CENTER OAC,DORCHESTER SENIOR CITIZENS CENTER INC,1419 Dorchester Road,Brooklyn,11226,718-941-6700,Senior Center (DFTA),C2901,,,,,Sponsor: DORCHESTER SENIOR CITIZENS CENTER INC | Hours: 08:00-04:00 Mon-Fri
EILEEN DUGAN SENIOR CENTER,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO,378 Court Street,Brooklyn,11231,718-596-1956,Senior Center (DFTA),W1101,,,,,Sponsor: AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO | Hours: 08:00-04:00 Mon-Fri
GRACE AGARD HAREWOOD OAC,FORT GREENE COUNCIL,19 Rogers Avenue,Brooklyn,11216,718-638-6910,Senior Center (DFTA),C3501,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
GRANT SQ OAC,FORT GREENE COUNCIL,19 Rogers Avenue,Brooklyn,11216,718-363-3133,Senior Center (DFTA),C3508,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
HAZEL BROOKS OAC,FORT GREENE COUNCIL,961 Ocean Avenue,Brooklyn,11226,347-435-3287,Senior Center (DFTA),C3514,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
HOMECREST,HOMECREST COMMUNITY SERVICES INC,1413 Avenue T,Brooklyn,11229,718-376-4036,Senior Center (DFTA),C4202,,,,,Sponsor: HOMECREST COMMUNITY SERVICES INC | Hours: :30-03:30 Mon-Fri
HOMECREST BENSONHURST OAC & AVE T BROOKLYN,HOMECREST COMMUNITY SERVICES INC,6915 15th Avenue,Brooklyn,11228,718-621-7960,Senior Center (DFTA),C4201,,,,,Sponsor: HOMECREST COMMUNITY SERVICES INC | Hours: 8 :00-3 :00 Mon-Fri
HOPE GARDENS MULTISERVICE,RISEBORO COMMUNITY PARTNERSHIP INC,195 Linden Street,Brooklyn,11221,718-455-1100,Senior Center (DFTA),W2004,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
HUGH GILROY OAC,FORT GREENE COUNCIL,447 Kingsborough 4th Walk,Brooklyn,11233,718-756-8400,Senior Center (DFTA),C3511,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
JASA HES OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,9502 Seaview Avenue,Brooklyn,11236,718-251-3700,Senior Center (DFTA),C8301,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA LUNA PARK ANNEX,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2880 West 12th Street,Brooklyn,11224,718-388-6865,Senior Center (DFTA),C8312,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA SCHEUER CONEY ISLAND OAC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,3601 Surf Ave Brooklyn NY 11224,Brooklyn,11224,718-373-3954,Senior Center (DFTA),C8306,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA SENIOR ALLIANCE OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,161 Corbin Place,Brooklyn,11235,718-646-4100,Senior Center (DFTA),C8307,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA STARRETT CITY OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1540 Van Siclen Avenue,Brooklyn,11239,718-642-1010,Senior Center (DFTA),C8308,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JASA WILLIAMSBURG OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,202 Graham Avenue,Brooklyn,11206,718-388-6865,Senior Center (DFTA),C8311,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 08:00-04:00 Mon-Fri
JCCGCI CONEY ISLAND SEASIDE OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3001 West 37th Street,Brooklyn,11224,718-449-6363,Senior Center (DFTA),C4701,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
JCCGCI HABER HOUSE OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3024 West 24th Street,Brooklyn,11224,718-372-5775,Senior Center (DFTA),C4702,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
JCCGCI JAY-HARAMA OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,2600 Ocean Avenue,Brooklyn,11229,718-891-1110,Senior Center (DFTA),C4703,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
JCCGCI KINGS HIGHWAY OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,1879 East 3rd Street,Brooklyn,11223,917-596-0761,Senior Center (DFTA),C4704,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 09:00-05:00 Mon-Fri
JCCGCI MARIEN-HEIM OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,870 Ocean Parkway,Brooklyn,11230,718-438-7771,Senior Center (DFTA),C4705,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:30-04:30 Mon-Fri
JCCGCI MARLBORO OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,2298 West 8th Street,Brooklyn,11223,718-373-6161,Senior Center (DFTA),C4706,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
JCCGCI MIDWOOD OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,1625 Ocean Avenue,Brooklyn,11230,718-253-0508,Senior Center (DFTA),C4707,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 09:00-04:30 Mon-Fri
JCCGCI OCEAN PARKWAY OLDER ADULT CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,1960 East 7th Street,Brooklyn,11223,718-449–5000,Senior Center (DFTA),C4708,,,,,Sponsor: JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC | Hours: 08:00-04:00 Mon-Fri
MARCUS GARVEY,FORT GREENE COUNCIL,1440 East New York Avenue,Brooklyn,11212,718-346-7167,Senior Center (DFTA),C3502,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
MARIA LAWTON OAC,FORT GREENE COUNCIL,400 Hart Street,Brooklyn,11206,718-452-7474,Senior Center (DFTA),C3509,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
PALMETTO GARDENS SENIOR CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,85 Palmetto Street,Brooklyn,11221,718-676-0876,Senior Center (DFTA),W2005,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
PARK SLOPE CTR FOR SUCCESSFUL AGING,HEIGHTS AND HILLS INC.,463A 7th Street,Brooklyn,11215,718-832-3726,Senior Center (DFTA),C4001,,,,,Sponsor: HEIGHTS AND HILLS INC. | Hours: 08:00-04:00 Mon-Fri
POLISH & SLAVIC CTR KRAKUS OAC (+ SOCIAL SVS),POLISH & SLAVIC CENTER INC,176 Java Street,Brooklyn,11222,718-383-5290,Senior Center (DFTA),C5501,,,,,Sponsor: POLISH & SLAVIC CENTER INC | Hours: 09:00-04:00 Mon-Fri
PROSPECT HILL NSC,ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH,283 Prospect Avenue,Brooklyn,11215,718-499-9574,Senior Center (DFTA),C7401,,,,,Sponsor: ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH | Hours: 09:00-05:00 Mon-Fri
RAICES FARRAGUT OAC SATELLITE,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,228 York Street,Brooklyn,11201,718-422-1069,Senior Center (DFTA),C7207,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
RED HOOK NSC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,120 West 9th Street,Brooklyn,11231,718-269-0519,Senior Center (DFTA),C7201,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
REMSEN SARITA JEAN OAC,FORT GREENE COUNCIL,3304 Clarendon Road,Brooklyn,11210,718-282-1259,Senior Center (DFTA),C3512,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
RIDGEWOOD BUSHWICK,RISEBORO COMMUNITY PARTNERSHIP INC,319 Stanhope Street,Brooklyn,11237,718-366-3038,Senior Center (DFTA),W2006,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
ROUNDTABLE SENIOR,RISEBORO COMMUNITY PARTNERSHIP INC,1175 Gates Avenue,Brooklyn,11206,718-443-1903,Senior Center (DFTA),W2007,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-05:30 Mon-Fri
SAGE CTR AT STONEWALL HOUSE,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,271 Myrtle Avenue,Brooklyn,11201,646-518-9744,Senior Center (DFTA),C6903,,,,,Sponsor: SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND | Hours: 09:00-05:00 Mon-Fri
SARATOGA SQ SENIOR,RISEBORO COMMUNITY PARTNERSHIP INC,930 Halsey Street,Brooklyn,11233,347-425-0676,Senior Center (DFTA),W2008,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 09:00-05:00 Mon-Fri
SBH OLDER ADULT CENTER - SENIOR PAVILION,SBH COMMUNITY SERVICE NETWORKINC.,1963 McDonald Avenue,Brooklyn,11223,718-787-1100,Senior Center (DFTA),C6601,,,,,Sponsor: SBH COMMUNITY SERVICE NETWORKINC. | Hours: 08:30-04:30 Mon-Fri
SEPHARDIC MULTI SERVICES SENIOR CITIZENS CENTER,SEPHARDIC MULTI SERVICES SENIOR CITIZEN CENTER INC,485 Kings Hwy,Brooklyn,11223,718-336-1300,Senior Center (DFTA),C6801,,,,,Sponsor: SEPHARDIC MULTI SERVICES SENIOR CITIZEN CENTER INC | Hours: 08:00-04:00 Mon-Fri
SETH LOW SOCIAL CLUB,FORT GREENE COUNCIL,137 Belmont Avenue,Brooklyn,11212,718-485-4991,Senior Center (DFTA),C3503,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
SHORE HILL OLDER ADULT CENTER,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A,9000 Shore Road,Brooklyn,11209,347-377-5474,Senior Center (DFTA),C8001,,,,,Sponsor: SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A | Hours: 09:00-05:00 Mon-Fri
SOUTHSIDE LOS SURES DAVID SANTIAGO,SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP,201 South 4th Street,Brooklyn,11211,718-384-2314,Senior Center (DFTA),C7101,,,,,Sponsor: SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP | Hours: 09:00-04:00 Mon-Fri
ST NICKS ALLIANCE COOPER PARK SOCIAL 2,ST. NICKS ALLIANCE CORP.,288 Frost Street,Brooklyn,11222,718-227-3652,Senior Center (DFTA),C7501,,,,,Sponsor: ST. NICKS ALLIANCE CORP. | Hours: 09:00-04:00 Mon-Fri
ST NICKS ALLIANCE SWINGING SIXTIES OAC 2,ST. NICKS ALLIANCE CORP.,211 Ainslie Street,Brooklyn,11211,718-963-3793,Senior Center (DFTA),C7502,,,,,Sponsor: ST. NICKS ALLIANCE CORP. | Hours: 09:00-04:00 Mon-Fri
ST. GABRIEL'S EPISCOPAL CHURCH OAC,ST GABRIELS EPISCOPAL CHURCH,331 Hawthorne Street,Brooklyn,11225,718-773-4049,Senior Center (DFTA),C7301,,,,,Sponsor: ST GABRIELS EPISCOPAL CHURCH | Hours: 09:00-05:00 Mon-Fri
STUYVESANT GARDENS SENIOR CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,150 Malcolm X Boulevard,Brooklyn,11221,347-318-3313,Senior Center (DFTA),W2009,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 09:00-05:00 Mon-Fri
STUYVESANT HEIGHTS OAC,FORT GREENE COUNCIL,562-574 Madison Street,Brooklyn,11221,718-230-0824,Senior Center (DFTA),C3510,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
SUMNER SENIOR CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,862 Park Avenue,Brooklyn,11206,718-455-8471,Senior Center (DFTA),W2010,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 09:00-05:00 Mon-Fri
SUNSET PARK OAC,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A,4520 4th Avenue,Brooklyn,11220,718-210-1050,Senior Center (DFTA),C8002,,,,,Sponsor: SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A | Hours: 09:00-05:00 Mon-Fri
TERESA MOORE OAC,FORT GREENE COUNCIL,2702 Linden Blvd,Brooklyn,11208,347-663-7770,Senior Center (DFTA),C3513,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
TIMES PLAZA CENTER OAC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,460 Atlantic Avenue,Brooklyn,11217,718-694-0895,Senior Center (DFTA),C7205,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
UCA COMMUNITY SERVICE CENTER,UNITED CHINESE ASSOCIATION OF BROOKLYN  INC,1787 Stillwell Avenue,Brooklyn,11223,718-232-0055,Senior Center (DFTA),2TZ01,,,,,Sponsor: UNITED CHINESE ASSOCIATION OF BROOKLYN  INC | Hours: - Mon-Fri
UNITED NEIGHBORHOOD SENIOR CITIZENS CTR,UNITED SENIOR CITIZENS OF SUNSET PARK INC,475 53rd Street,Brooklyn,11220,718-439-8647,Senior Center (DFTA),C8601,,,,,Sponsor: UNITED SENIOR CITIZENS OF SUNSET PARK INC | Hours: 08:00-04:00 Mon-Fri
WAYSIDE OUT BROWNSVILLE SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC,528 Mother Gaston Blvd,Brooklyn,11212,347-938-8453,Senior Center (DFTA),C9002,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
WAYSIDE OUT GLENMORE PLAZA SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC,1777 Pitkin Avenue,Brooklyn,11212,917-962-8276,Senior Center (DFTA),C9008,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
WAYSIDE OUT LANGSTON HUGHES SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC,301 Sutter Avenue,Brooklyn,11212,917-962-8277,Senior Center (DFTA),C9004,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
WAYSIDE OUT ROSETTA GASTON SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,460 Dumont Avenue,Brooklyn,11212,718-345-5665,Senior Center (DFTA),C9001,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
WAYSIDE OUT TILDEN SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,630 Mother Gaston Blvd,Brooklyn,11212,718-498-2990,Senior Center (DFTA),C9003,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
WAYSIDE OUT TOMPKINS PARK SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,550 Greene Avenue,Brooklyn,11216,718-638-3000,Senior Center (DFTA),C9005,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
WAYSIDE OUT VAN DYKE II SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,430 Dumont Avenue,Brooklyn,11212,718-385-1110,Senior Center (DFTA),C9007,,,,,Sponsor: WAYSIDE OUT-REACH DEVELOPMENT INC | Hours: 09:00-05:00 Mon-Fri
WILLOUGHBY OAC,FORT GREENE COUNCIL,105 North Portland Avenue,Brooklyn,11205,718-875-1011,Senior Center (DFTA),C3504,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
WYCKOFF GARDENS NSC,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,280 Wyckoff Street,Brooklyn,11217,718-237-1802,Senior Center (DFTA),C7202,,,,,Sponsor: SPANISH SPEAKING ELDERLY COUNCIL RAICES INC. | Hours: 09:00-05:00 Mon-Fri
YOUNG AT HEART SENIOR CENTER AT THE FLATBUSH YMCA,YMCA OF GREATER NEW YORK,1401 Flatbush Avenue,Brooklyn,11210,212-630-9645,Senior Center (DFTA),C9302,,,,,Sponsor: YMCA OF GREATER NEW YORK | Hours: 09:00-05:00 Mon-Fri
YOUNG ISRAEL PROGRAMS MIDWOOD,YOUNG ISRAEL PROGRAMS INC,1694 Ocean Avenue,Brooklyn,11230,718-253-7800,Senior Center (DFTA),C9402,,,,,Sponsor: YOUNG ISRAEL PROGRAMS INC | Hours: 08:00-04:00 Mon-Fri
ZEST FOR LIFE OAC,FORT GREENE COUNCIL,261 East 21st Street,Brooklyn,11236,929-626-6020,Senior Center (DFTA),C3507,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 08:00-04:00 Mon-Fri
ABSW OAC,ASSOCIATION OF BLACK SOCIAL WORKERS INC,221 West 107th Street,Manhattan,10025,212-749-8400,Senior Center (DFTA),C0601,,,,,Sponsor: ASSOCIATION OF BLACK SOCIAL WORKERS INC | Hours: 08:00-04:00 Mon-Fri
AGUDATH ISRAEL MORIAH OLDER ADULT LUNCHEON CLUB,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC,90 Bennett Avenue,Manhattan,10033,212-923-5715,Senior Center (DFTA),C0102,,,,,Sponsor: AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC | Hours: 08:00-04:00 Mon-Fri
ARC XVI A. PHILIP RANDOLPH OAC,ARC XVI FORT WASHINGTON INC,108 West 146 Street,Manhattan,10039,212-281-1349,Senior Center (DFTA),C0501,,,,,Sponsor: ARC XVI FORT WASHINGTON INC | Hours: 09:00-05:00 Mon-Fri
ARC XVI CENTRAL HARLEM CENTER,ARC XVI FORT WASHINGTON INC,120 West 140th Street,Manhattan,10030,347-919-5072,Senior Center (DFTA),C0502,,,,,Sponsor: ARC XVI FORT WASHINGTON INC | Hours: 09:00-05:00 Mon-Fri
ARC XVI FORT WASHINGTON OAC,ARC XVI FORT WASHINGTON INC,516 W 181th Street,Manhattan,10033,212-781-5700,Senior Center (DFTA),C0503,,,,,Sponsor: ARC XVI FORT WASHINGTON INC | Hours: 09:00-05:00 Mon-Fri
ARCXVI FT WASHINGTONINC,ARC XVI FORT WASHINGTON INC,108 WEST 146 STREET,Manhattan,10039,212-281-1349,Senior Center (DFTA),3YE01,,,,,Sponsor: ARC XVI FORT WASHINGTON INC | Hours: - Mon-Fri
BRC SENIOR CENTER,BOWERY RESIDENTS COMMITTEE INC,30 Delancy Street,Manhattan,10002,212-533-2020,Senior Center (DFTA),C0901,,,,,Sponsor: BOWERY RESIDENTS COMMITTEE INC | Hours: 08:00-03:30 Mon-Fri
CANAAN SENIOR SERVICE CENTER,CANAAN BAPTIST CHURCH OF CHRIST,1428 5th Avenue,Manhattan,10035,212-876-2638,Senior Center (DFTA),C1501,,,,,Sponsor: CANAAN BAPTIST CHURCH OF CHRIST | Hours: 09:00-05:00 Mon-Fri
CARTER BURDEN LUNCHEON CLUB & SOCIAL SERVICE UNIT,CARTER BURDEN NETWORK INC.,351 East 74th Street,Manhattan,10021,646-937-3520,Senior Center (DFTA),C1601,,,,,Sponsor: CARTER BURDEN NETWORK INC. | Hours: 08:00-04:00 Mon-Fri
CARVER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,55 East 102nd Street,Manhattan,10029,212-289-2709,Senior Center (DFTA),W1603,,,,,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
CASABE SENIOR HOUSES AKA EAST HARLEM NSC,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,150 East 121st Street,Manhattan,10035,212-722-2205,Senior Center (DFTA),C3001,,,,,Sponsor: EAST HARLEM COUNCIL FOR HUMAN SERVICES INC | Hours: 09:00-05:00 Mon-Fri
CBN LEONARD COVELLO SENIOR PROGRAM,CARTER BURDEN NETWORK INC.,312 East 109th Street,Manhattan,10029,212-423-9665,Senior Center (DFTA),C1603,,,,,Sponsor: CARTER BURDEN NETWORK INC. | Hours: 08:00-04:00 Mon-Fri
CBN ROOSEVELT ISLAND SENIOR CENTER,CARTER BURDEN NETWORK INC.,546 Main Street,Manhattan,10044,212-980-1888,Senior Center (DFTA),C1605,,,,,Sponsor: CARTER BURDEN NETWORK INC. | Hours: 09:00-05:00 Mon-Fri
CENTER @ LENOX HILL,LENOX HILL NEIGHBORHOOD HOUSE INC,343 East 70th Street,Manhattan,10021,212-218-0315,Senior Center (DFTA),W1801,,,,,Sponsor: LENOX HILL NEIGHBORHOOD HOUSE INC | Hours: 08:00-06:00 Mon-Fri
CENTER AT THE RED OAK,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC,135 West 106 Street,Manhattan,10025,917-544-1892,Senior Center (DFTA),C9101,,,,,Sponsor: WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC | Hours: 08:30-04:00 Mon-Fri
CENTER FOR ADULTS LIVING WELL @ THE Y,YM YWHA OF WASHINGTON HEIGHTS AND INWOOD INC,54 Nagle Avenue,Manhattan,10040,646-738-6084,Senior Center (DFTA),C9501,,,,,Sponsor: YM YWHA OF WASHINGTON HEIGHTS AND INWOOD INC | Hours: 08:00-04:00 Mon-Fri
CENTER ON THE SQ,GREENWICH HOUSE INC.,20 Washington Square North,Manhattan,10011,212-777-3555,Senior Center (DFTA),W1501,,,,,Sponsor: GREENWICH HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
CENTRAL HARLEM KENNEDY,CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.,34 W 134th Street,Manhattan,10037,212-926-4871,Senior Center (DFTA),C1901,,,,,Sponsor: CENTRAL HARLEM SENIOR CITIZENS CENTERS INC. | Hours: 09:00-05:00 Mon-Fri
CENTRAL HARLEM SC CTR BEATRICE LEWIS,CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.,2322 Third Avenue,Manhattan,10035,212-289-9155,Senior Center (DFTA),C1904,,,,,Sponsor: CENTRAL HARLEM SENIOR CITIZENS CENTERS INC. | Hours: 09:00-05:00 Mon-Fri
CENTRAL HARLEM ST NICK,CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.,210 W. 131st Street,Manhattan,10037,646-678-4451,Senior Center (DFTA),C1902,,,,,Sponsor: CENTRAL HARLEM SENIOR CITIZENS CENTERS INC. | Hours: 09:00-05:00 Mon-Fri
CORSI OAC,UNION SETTLEMENT ASSOCIATION,307 E 116th Street,Manhattan,10029,212-828-6756,Senior Center (DFTA),W2405,,,,,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 08:00-04:00 Mon-Fri
COTHOA LUNCHEON CLUB,COTHOA LUNCHEON CLUB INC,2005 Amsterdam Avenue,Manhattan,10032,212-781-6580,Senior Center (DFTA),C2601,,,,,Sponsor: COTHOA LUNCHEON CLUB INC | Hours: 08:00-04:00 Mon-Fri
CPC NY CHINATOWN NEIGHBORHOOD SENIOR CENTER,CHINESE AMERICAN PLANNING COUNCIL INC,55 Chrystie Street,Manhattan,10002,212-233-8930,Senior Center (DFTA),C2103,,,,,Sponsor: CHINESE AMERICAN PLANNING COUNCIL INC | Hours: 09:00-05:00 Mon-Fri
CPC PROJECT OPEN DOOR NEIGHBORHOOD SENIOR CENTER,CHINESE AMERICAN PLANNING COUNCIL INC,168 Grand Street,Manhattan,10013,212-431-9026,Senior Center (DFTA),C2104,,,,,Sponsor: CHINESE AMERICAN PLANNING COUNCIL INC | Hours: 09:00-05:00 Mon-Fri
EDIE WINDSOR SAGE CENTER,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,305 7th Avenue,Manhattan,10001,646-576-8669,Senior Center (DFTA),C6904,,,,,Sponsor: SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND | Hours: 11:00-08:00 Mon-Fri
EDUCATIONAL ALLIANCE SIROVICH OLDER ADULT CENTER,THE EDUCATIONAL ALLIANCE INC,331 East 12th Street,Manhattan,10003,646-395-4529,Senior Center (DFTA),C8101,,,,,Sponsor: THE EDUCATIONAL ALLIANCE INC | Hours: 08:00-05:00 Mon-Fri
