rank,festival,date,venue,location,state,phone,website,status,booking_contact,email,notes
191,nolajazzmuseum.org,"March 20-29, 2026",Danny Barker Banjo & Guitar Festival,"New Orleans, LA",LA,,,,,,From Living Blues Festival Guide 2026
192,Congo Square Rhythms Festival,"March 28-29, 2026",,"April 3, LA",LA,504.558.6100,www.jazzandheritage.org,,,,From Living Blues Festival Guide 2026
193,Brookshire Grocery Arena,"April 8-12, 2026",bluesisalright.comCycle Zydeco,"Shreveport, LA",LA,337.354.7924,www.cyclezydeco.org,,,,From Living Blues Festival Guide 2026
194,Dewey Balfa Cajun & Creole Heritage,"April 13-16, 2026",Week,Lakeview Park & Beach,LA,337.234.8360,,,,,From Living Blues Festival Guide 2026
195,"April 16-19, 2026",504.522.5730,frenchquarterfest.org,"New Orleans, LA",LA,,www.brblues.org,,,,From Living Blues Festival Guide 2026
196,La Fête du Monde,"April 17-19, 2026",,"April 18, LA",LA,985.532.6640,www.facebook.com/Lafetedumonde,,,,From Living Blues Festival Guide 2026
197,Tulane University,,Festival International de Louisiane,"New Orleans, LA",LA,337.232.8086,www.festivalinternational.org,,,,From Living Blues Festival Guide 2026
198,New Orleans Jazz & Heritage Festival,"April 23-May 3, 2026",,"New Orleans, LA",LA,,www.nojazzfest.com,,,,From Living Blues Festival Guide 2026
199,Celebration,"April 27, 2026",,"May 1-3, LA",LA,504.558.6100,www.jazzandheritage.org,,,,From Living Blues Festival Guide 2026
200,Parc Hardy,337.332.6655,bbcrawfest.com,"Breaux Bridge, LA",LA,,,,,,From Living Blues Festival Guide 2026
201,tuckafest4.eventbrite.com,4th Annual Wolfman Fest,Walter “Wolfman” Washington Memorial,"May 9, LA",LA,,,,,,From Living Blues Festival Guide 2026
202,"May 9-October 24, 2026",337.256.8681,Isle of Iberia RV Resort,"New Iberia, LA",LA,,www.isleofiberia.com,,,,From Living Blues Festival Guide 2026
203,Mid-City Bayou Boogaloo Music Festival,"May 15-17, 2026",thebayouboogaloo.com,"New Orleans, LA",LA,318.226.5641,,,,,From Living Blues Festival Guide 2026
204,mudbugmadness.com,"May 23-24, 2026",Baton Rouge Soul Food Festival,Main Library,LA,225.802.9681,,,,,From Living Blues Festival Guide 2026
205,Jean Lafitte Auditorium & Grounds,504.689.2208,,"Baton Rouge, LA",LA,,www.lafitteseafoodfest.com,,,,From Living Blues Festival Guide 2026
206,arena.raisingcanesrivercenter.com,"June 19-22, 2026",Let the Good Times Roll Juneteenth,Festival,LA,,www.letthegoodtimesrollfestival.com,,,,From Living Blues Festival Guide 2026
207,"June 26-28, 2026",318.461.5775,,"July 4, LA",LA,,www.facebook.com/p/Mansfield-Annual-,,,,From Living Blues Festival Guide 2026
208,"Marksville, Louisiana",318.264.9392,,"Lebeau, LA",LA,,www.avoyellesarts.com,,,,From Living Blues Festival Guide 2026
209,cajuntravel.com/events/lebeau-zydeco-,"July 18, 2026",festival,Natchitoches-NSU Folk Festival,LA,318.357.4332,www.nsula.edu/folklife/natchitoches-nsu-,,,,From Living Blues Festival Guide 2026
210,folk-festival,"August 1-2, 2026",Satchmo Summerfest,New Orleans Jazz Museum,LA,504.522.5730,,,,,From Living Blues Festival Guide 2026
211,Rayne Civic Center,225.395.5007,batonrougecajundance.com,"Rayne, LA",LA,,,,,,From Living Blues Festival Guide 2026
212,Natchitoches Meat Pie Festival,"September 18-19, 2026",,"Shreveport, LA",LA,,www.meatpiefestival.com,,,,From Living Blues Festival Guide 2026
213,A Taste of the Deep South Festival,"September 19-20, 2026",,"September 24-27, LA",LA,310.721.1592,,,,,From Living Blues Festival Guide 2026
214,"New Iberia, Louisiana","September 25-26, 2026",hisugar.org,Bogalusa Blues & Heritage Festival,LA,985.516.0311,www.bogalusablues.com,,,,From Living Blues Festival Guide 2026
215,Chicken & Blues Festival,"October 3, 2026",,"October 8-11 & October 15-18, LA",LA,,www.chickenbluesfest.com,,,,From Living Blues Festival Guide 2026
216,"Shreveport, Louisiana",318.424.4000,Crescent City Blues & BBQ Festival,redriverrevel.com,LA,504.558.6100,,,,,From Living Blues Festival Guide 2026
217,"October 9-11, 2026","October 16-18, 2026",Girard Park,"Lafayette, LA",LA,,,,,,From Living Blues Festival Guide 2026
218,Acadia Music Fest,"October 17, 2026",,"New Orleans, LA",LA,985.492.0017,www.acadiamusicfest.net,,,,From Living Blues Festival Guide 2026
219,State Fair of Louisiana,"October 29-November 15, 2026",,"October 30-31, LA",LA,318.635.1361,www.statefairoflouisiana.com,,,,From Living Blues Festival Guide 2026
220,"Lafayette, Louisiana",,NOLA Zydeco Fest,Heritage Park,LA,,www.blackpotfestival.com,,,,From Living Blues Festival Guide 2026
221,"November 6, 2026","November 13-14, 2026",Orpheum Theater,"New Orleans, LA",LA,,,,,,From Living Blues Festival Guide 2026
222,Bluesberry Festival,,On hiatus until 2027,"Covington, LA",LA,,www.thebluesberryfest.comLouisiana Cajun-Zydeco Festival,,,,From Living Blues Festival Guide 2026
223,"New Orleans, Louisiana",504.558.6100,,Original Southwest Louisiana Zydeco,Tba,,www.jazzandheritage.org,,,,From Living Blues Festival Guide 2026
224,Yambilee Festival Grounds,337.290.6048,,"Opelousas, Tba",Tba,,www.zydeco.org,,,,From Living Blues Festival Guide 2026
225,North Atlantic Blues Festival,"July 11-12, 2026",,"July 23-26, ME",ME,207.691.0825,www.northatlanticbluesfestival.com,,,,From Living Blues Festival Guide 2026
226,"Hiram, Maine",207.256.6238,Mountain Valley Stomp,ossipeevalley.com,ME,207.310.4010,,,,,From Living Blues Festival Guide 2026
227,mountainvalleystomp.rocks,"August 15, 2026",York County Blues Fest,Friendship Park,ME,,,,,,From Living Blues Festival Guide 2026
228,"Auburn, Maine",207.333.6601,,Maine Blues Festival,Tba,,www.auburnblues.com,,,,From Living Blues Festival Guide 2026
229,"Lisbon Falls, Maine",,,Tba,Tba,,www.mainebluesfestival.com,,,,From Living Blues Festival Guide 2026
230,Artscape,"May 23-24, 2026",,"Hagerstown, MD",MD,410.752.8632,www.artscape.orgWestern Maryland Blues Fest,,,,From Living Blues Festival Guide 2026
231,Baltimore AFRAM,"June 19-21, 2026",aframbaltimore.com,"Baltimore, MD",MD,,,,,,From Living Blues Festival Guide 2026
232,"Arts, Wine, Jazz & Soul Festival","August 8, 2026",,"September 18-20, MD",MD,443.939.0366,www.hdgcoloredschool.com,,,,From Living Blues Festival Guide 2026
233,"Salisbury, Maryland",410.677.1916,Eastern’s Bayside Blues & Wine Festival,mdfolkfest.com,MD,,,,,,From Living Blues Festival Guide 2026
234,Eastern Yacht Club,,easternsbaysidefestival.com,"Baltimore, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
235,Port Covington Marina,,oystersbluesandbrews.com,"Baltimore, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
236,"Greenbelt, Maryland",,Groove City Culture Fest,Tba,Tba,,www.facebook.com/GreenbeltBluesFest,,,,From Living Blues Festival Guide 2026
237,"Cambridge, Maryland",443.225.0819,,Alonzo’s Memorial Picnic,Tba,,www.groovecityheritageculturegrp.org,,,,From Living Blues Festival Guide 2026
238,"Baltimore, Maryland",,,Tba,Tba,,www.mojoworkin.com,,,,From Living Blues Festival Guide 2026
239,HCA Winter BluesFest,"January 17, 2026",,"Hopkinton, Tba",Tba,508.435.9222,www.hopartscenter.org,,,,From Living Blues Festival Guide 2026
240,"February 28, 2026",978.462.5888,Blue Ocean Music Hall,"Salisbury, Tba",Tba,,www.blueoceanhall.com,,,,From Living Blues Festival Guide 2026
241,Center,,3rd Annual Boston Harbor Distillery Blues,"Marlborough, Tba",Tba,,www.neffa.org,,,,From Living Blues Festival Guide 2026
242,bostonharbordistillery.com,"July 4, 2026",Mike Crandall Franklin Blues Festival,"Franklin, Tba",Tba,508.440.9978,www.franklin4th.com,,,,From Living Blues Festival Guide 2026
243,"Springfield, Massachusetts","July 24-26, 2026",springfieldjazzfest.com,Lowell Folk Festival,Tba,,,,,,From Living Blues Festival Guide 2026
244,"Williamstown, Massachusetts",,williamstownbluesandrootsfestival,North River Blues Festival,Tba,781.834.6629,www.ginacolemanmusic.com/,,,,From Living Blues Festival Guide 2026
245,marshfieldfair.org,"September 24-26, 2027",FreshGrass Festival,MASS MoCA,Tba,,,,,,From Living Blues Festival Guide 2026
246,"Gloucester,",207.691.0825,Massachusetts,gloucesterbluesfestival.com,Tba,,,,,,From Living Blues Festival Guide 2026
247,John Alden Sportsmen’s Club,781.254.5986,,"Plymouth, Tba",Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
248,Nauset Beach,,,"Orleans, Tba",Tba,,www.outermostfestival.com,,,,From Living Blues Festival Guide 2026
249,"January 30-31, 2026",734.761.1818,theark.org18th Annual Motor City Blues Festival,"Ann Arbor, MI",MI,,www.313presents.com,,,,From Living Blues Festival Guide 2026
250,Mr. B’s 29th Annual Blues and Boogie,"April 18, 2026",Piano Celebration,The Ark,MI,734.761.1818,,,,,From Living Blues Festival Guide 2026
251,"June 11-13, 2026",517.962.5939,,"Lansing, MI",MI,,www.facebook.com/JacksonBluesfest,,,,From Living Blues Festival Guide 2026
252,Buttermilk Jamboree,"June 19-21, 2026",,"June 20, MI",MI,269.623.5555,www.buttermilkjamboree.org,,,,From Living Blues Festival Guide 2026
253,Alpena Bandshell,,Marshall Blues Festival,"Alpena, MI",MI,,www.marshallbluesfest.com,,,,From Living Blues Festival Guide 2026
254,"July 10-11, 2026","July 10-12, 2026",Old Dog Tavern,"Kalamazoo, MI",MI,,,,,,From Living Blues Festival Guide 2026
255,blissfest.org,"July 17-18, 2026",Houghton Lake Blues Festival,"Houghton Lake, MI",MI,586.634.6376,www.facebook.com/profile.,,,,From Living Blues Festival Guide 2026
256,"July 19, 2026","July 23-25, 2026",Schoolcraft College,"Livonia, MI",MI,586.446.2470,,,,,From Living Blues Festival Guide 2026
257,Sterlingfest,"August 5-8, 2026",JazzFest Michigan,Old Town,MI,,www.micharts.org,,,,From Living Blues Festival Guide 2026
258,Downtown Harbor Park,,Barbecue,"City of Westland Blues, MI",MI,734.713.3888,www.portsanilacbluesfestival.net,,,,From Living Blues Festival Guide 2026
259,Ribs R&B Music Festival Weekend,"August 7-9, 2026",,"August 23, MI",MI,800.794.7503,www.ribsrnbmusicfestival.com,,,,From Living Blues Festival Guide 2026
260,Eastern Market Shed 5,,Blues by the Bay Festival,"Detroit, MI",MI,,www.bluesbythebaytawas.org,,,,From Living Blues Festival Guide 2026
261,Detroit Jazz Festival,"September 4-7, 2026",,"September 11-12, MI",MI,313.469.6564,www.detroitjazzfest.org,,,,From Living Blues Festival Guide 2026
262,"Brighton, Michigan","September 16-19, 2026",sites.google.com/view/,brightonsmokinfestival/homeMichigan BluesFest,MI,,www.micharts.org,,,,From Living Blues Festival Guide 2026
263,Beat the Winter Blues & Jazz Festival,"February 6, 2026",,"Alexandria, MN",MN,,www.eventbrite.com/e/beat-the-,,,,From Living Blues Festival Guide 2026
264,delanomnarts.org,"June 19-20, 2026",Twin Cities Jazz Festival,Mears Park,MN,,www.twincitiesjazzfestival.com,,,,From Living Blues Festival Guide 2026
265,Fort Belmont,,Watona Park Blues Festival,"Jackson, MN",MN,507.642.8822,www.rhythmoftheriver.org,,,,From Living Blues Festival Guide 2026
266,"August 14-16, 2026",715.817.6933,Bayfront Festival Park,"Duluth, MN",MN,,www.bayfrontblues.com,,,,From Living Blues Festival Guide 2026
267,"St. Peter, Minnesota",,northstarblues.com,"Minneapolis, MN",MN,,www.rockbend.orgNorth Star Blues 2026,,,,From Living Blues Festival Guide 2026
268,Belgrade-100054284959304,,,MN,MN,,,,,,From Living Blues Festival Guide 2026
269,Natchez Festival of Music,"December 5, 2025 - May 16, 2026",,"Clarksdale, MS",MS,601.807.4442,www.natchezfestivalofmusic.com,,,,From Living Blues Festival Guide 2026
270,Blues is Alright,"March 13, 2026",bluesisalright.com,"Tupelo, MS",MS,,,,,,From Living Blues Festival Guide 2026
271,Casey Jones Music Fest,"March 21, 2026",mainstreetwatervalley.org,"Water Valley, MS",MS,601.296.7500,,,,,From Living Blues Festival Guide 2026
272,theadphattiesburg.com/hubfest,"April 8-12, 2026",Juke Joint Festival & Related Events,"Clarksdale, MS",MS,662.624.5992,www.jukejointfestival.com,,,,From Living Blues Festival Guide 2026
273,"Columbus, Mississippi",800.327.2686,World Catfish Festival,visitcolumbusms.org,MS,,www.catfishcapitol.com,,,,From Living Blues Festival Guide 2026
274,Crosstie Arts & Jazz Festival,"April 18, 2026",,"Starkville, MS",MS,662.722.0103,www.crosstiefestival.com,,,,From Living Blues Festival Guide 2026
275,Downtown Crawfish Jam Music Festival,"April 18, 2026",dcjhburg.com,"Hattiesburg, MS",MS,,,,,,From Living Blues Festival Guide 2026
276,Double Decker Arts Festival,"April 24-25, 2026",,"Kosciusko, MS",MS,662.232.2477,,,,,From Living Blues Festival Guide 2026
277,"Holly Springs, Mississippi","May 2, 2026",kimbroughcottonpatchsoulbluesfest.com,Market Street Festival,MS,662.328.6305,www.marketstreetfestival.comPre-Mother’s Day Extravaganza,,,,From Living Blues Festival Guide 2026
278,Washington County Convention Center,,Tavern Fest,"Greenville, MS",MS,,www.facebook.com/pg.tavern.2023,,,,From Living Blues Festival Guide 2026
279,Jimmie Rodgers Music Festival,"May 7-9, 2026",,"Leland, MS",MS,601.938.7427,www.jimmierodgers.com,,,,From Living Blues Festival Guide 2026
280,Clarksdale Caravan Music Fest,"May 9, 2026",,"Clarksdale, MS",MS,,www.clarksdalecaravan.com,,,,From Living Blues Festival Guide 2026
281,pinetopperkinsfoundation.org,"May 9, 2026",Mississippi Makers Fest,Entergy Plaza at the Two Mississippi,MS,601.576.6800,,,,,From Living Blues Festival Guide 2026
282,Rhythm & Soul Picnic: Mother’s Day,"May 10, 2026",Edition,The Center at Forrest County,MS,,,,,,From Living Blues Festival Guide 2026
283,Q.V. Sykes Sports Complex,601.410.2995,,"Clarksdale, MS",MS,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
284,Playing Contest & Festival,"May 21-24, 2026",,"May 22-23, MS",MS,662.801.2251,,,,,From Living Blues Festival Guide 2026
285,Ground Zero Blues Club,662.621.9009,,"Clarksdale, MS",MS,,www.groundzerobluesclub.com,,,,From Living Blues Festival Guide 2026
286,Memorial Day Southern Soul Blues Fest,"May 23, 2026",,"Holly Springs, MS",MS,662.216.3005,www.eventbrite.com/e/nikki-jones-,,,,From Living Blues Festival Guide 2026
287,Bad Apple Blues Festival,"May 24, 2026",,"Byhalia, MS",MS,,www.facebook.com/badapplebluesclub,,,,From Living Blues Festival Guide 2026
288,presents-14th-annual-wall-hill-blues-fest-,"May 28-30, 2026",tickets-1984195634556,Son House Tribute Festival,MS,413.531.8536,www.sonhousetributefestival.com,,,,From Living Blues Festival Guide 2026
289,"June 4-7, 2026",662.841.6598,,"Ripley, MS",MS,662.512.0226,www.tupeloelvisfestival.com,,,,From Living Blues Festival Guide 2026
290,visitripleyms.com,,,MS,MS,,,,,,From Living Blues Festival Guide 2026
291,Experience & Blues Showcase,"June 16-19, 2026",Ground Zero Blues Club,"Hopson Commissary, MS",MS,,,,,,From Living Blues Festival Guide 2026
292,Blue Front Cafe,800.381.0662,visityazoo.org,"Bentonia, MS",MS,662.621.2221,,,,,From Living Blues Festival Guide 2026
293,bamfestms.com,"June 21, 2026",Father’s Day Tailgate & Blues Festival,Paul Battle Jr. Arena & Exposition Center,MS,662.671.1230,www.eventbrite.com/e/craig-smacks-,,,,From Living Blues Festival Guide 2026
294,North Mississippi Hill Country Picnic,"June 26-27, 2026",nmshillcountrypicnic.com,"Waterford, MS",MS,,,,,,From Living Blues Festival Guide 2026
295,"Duck Hill, Mississippi",,Laurel Blues Festival,Laurel Fairgrounds,MS,,www.laurelbluesfestival.com,,,,From Living Blues Festival Guide 2026
296,"July 27, 2026","July 28-August 2, 2026",Jackson Convention Center Ballroom,"Jackson, MS",MS,,,,,,From Living Blues Festival Guide 2026
297,"Biloxi, Mississippi",678.403.1993,,"Greenwood, MS",MS,662.453.4152,www.bikesbluesbayous.com,,,,From Living Blues Festival Guide 2026
298,"August 7-9, 2026",,Cat Head 24th Anniversary Weekend,"Clarksdale, MS",MS,662.624.5992,www.cathead.biz,,,,From Living Blues Festival Guide 2026
299,"August 28-29, 2026",8th Red’s Old Timers Blues Festival,Northwest Shrine Club,"Coldwater, MS",MS,,,,,,From Living Blues Festival Guide 2026
300,redpaden.com,"September 12, 2026",Biloxi Seafood Festival,"Biloxi, MS",MS,228.604.0014,,,,,From Living Blues Festival Guide 2026
301,oxfordbluesfest.org,49th Annual Mississippi Delta Blues &,Washington County Convention Center,"September 19, MS",MS,662.335.3523,,,,,From Living Blues Festival Guide 2026
302,Mighty Roots Music Festival,"September 25-26, 2026",,"New Albany, MS",MS,662.534.1010,www.visitnewalbany.com,,,,From Living Blues Festival Guide 2026
303,Jessie Mae Hemphill Hill Country Blues,"September 26, 2026",Festival,Crossroads Cultural Arts Center,MS,,,,,,From Living Blues Festival Guide 2026
304,"Leland, Mississippi",662.347.4223,,"Marks, MS",MS,662.388.1550,www.highway61blues.com,,,,From Living Blues Festival Guide 2026
305,Bukka White Blues Festival,"October 10, 2026",,"Charleston, MS",MS,662.369.9440,,,,,From Living Blues Festival Guide 2026
306,charlestongatewayfe,"October 10, 2026",stival.org,Hopson Pumpkin Pickin’ Festival,MS,,www.hopsonhospitality.com,,,,From Living Blues Festival Guide 2026
307,"October 11, 2026",662.624.5992,,"Clarksdale, MS",MS,,www.cathead.biz,,,,From Living Blues Festival Guide 2026
308,Backyard Blues Party,"October 11, 2026",,"Clarksdale, MS",MS,662.627.7008,www.facebook.com/BluesberryCafe,,,,From Living Blues Festival Guide 2026
309,"October 15-17, 2026","October 16-17, 2026",deltawilliamsfestival.com,"Clarksdale, MS",MS,662.378.3121,www.mainstreetgreenville.com,,,,From Living Blues Festival Guide 2026
310,Hambone Festival,"October 29-November 1, 2026",,"October 31, MS",MS,662.403.8810,www.stanstreet.com,,,,From Living Blues Festival Guide 2026
311,"Clarksdale, Mississippi",662.902.4181,,"Jackson, MS",MS,,www.facebook.com/p/Cruzn-,,,,From Living Blues Festival Guide 2026
312,New Year’s at the Crossroads,"December 31, 2026",,"Jackson, MS",MS,662.624.5992,www.cathead.bizMississippi Blues Marathon,,,,From Living Blues Festival Guide 2026
313,MississippiBlues,,Summit Street Unity Festival,MS,MS,,,,,,From Living Blues Festival Guide 2026
314,"McComb, Mississippi",601.341.0866,,summitstreetunityfestival,Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
315,On the grounds of Studio-B,662.327.1789,awesomeam.com,"Columbus, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
316,"Hollandale, Mississippi",662.827.2241,,St. Rose BBQ & Blues Festival,Tba,,www.facebook.com/SamChatmonBlues,,,,From Living Blues Festival Guide 2026
317,St. Rose de Lima,228.467.7347,Catholic Church,"Bay St. Louis, Tba",Tba,,www.facebook.com/SaintRoseDeLimaBSL,,,,From Living Blues Festival Guide 2026
318,Lauren Rogers Museum of Art,601.649.6374,,"Laurel, Tba",Tba,,www.lrma.org,,,,From Living Blues Festival Guide 2026
319,"Greenwood, Mississippi",662.299.9150,,Booker Fest,Tba,,www.awesomeam.com,,,,From Living Blues Festival Guide 2026
320,"Bay St. Louis, Mississippi",100menhall.com,,Hill Country Boucherie and Blues Picnic,Tba,,,,,,From Living Blues Festival Guide 2026
321,Home Place Pastures,662.426.6191,homeplacepastures.comBlack Prairie Blues Festival,"Como, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
322,"West Point, Mississippi",662.275.7819,Historic Mobile Street Renaissance,blackprairiebluesmuseum.com,Tba,,,,,,From Living Blues Festival Guide 2026
323,"Hattiesburg, Mississippi",601.818.9275,Walls Delta Festival,mobile-street-festival.com,Tba,,,,,,From Living Blues Festival Guide 2026
324,"Walls, Mississippi",662.781.1282,,Wing Dang Doodle Festival,Tba,,www.townofwalls.com,,,,From Living Blues Festival Guide 2026
325,Gaddis Park,601.469.4332,,"Forest, Tba",Tba,,www.wingdangdoodlefestival.com,,,,From Living Blues Festival Guide 2026
326,"Rolling Fork, Mississippi",,greatdeltabearaffair.org,Oktoberfest,Tba,,,,,,From Living Blues Festival Guide 2026
327,Carthage Coliseum,601.267.9231,,"Carthage, Tba",Tba,,www.leakems.com,,,,From Living Blues Festival Guide 2026
328,"Macon, Mississippi",662.726.4456,,Mississippi John Hurt Homecoming,Tba,,www.facebook.com/dancingrabbitfestival,,,,From Living Blues Festival Guide 2026
329,"Avalon, Mississippi",,Tommy Johnson Blues Festival,Tba,Tba,,www.msjohnhurtfoundation.org,,,,From Living Blues Festival Guide 2026
330,"Jackson, Mississippi",,,Tba,Tba,,www.facebook.com/tommyjohnsonblues,,,,From Living Blues Festival Guide 2026
331,Missouri Blues Fest,"January 9, 2026",,"Columbia, MO",MO,573.874.1944,,,,,From Living Blues Festival Guide 2026
332,"March 20, 2026","April 24-26, 2026",Chaifetz Arena,"St. Louis, MO",MO,636.239.1743,,,,,From Living Blues Festival Guide 2026
333,Lorie Smith Blues Fest,"May 3, 2026",,"May 15-16, MO",MO,573.353.2601,,,,,From Living Blues Festival Guide 2026
334,Linden Square,816.436.4523,,"June 13, MO",MO,,www.gladstonechamber.com/bluesfest,,,,From Living Blues Festival Guide 2026
335,"Springfield, Missouri","August 14-16, 2026",stompthebluesoutofhomelessness.com,Blues at the Arch,MO,314.881.2015,www.archpark.org,,,,From Living Blues Festival Guide 2026
336,CWE Jazz & Blues Festival,"August 15, 2026",,"Discover Farmington’s Blues, MO",MO,314.305.4012,,,,,From Living Blues Festival Guide 2026
337,"September 18-19, 2026",573.454.2617,discoverfarmingtonmo.com,"Farmington, Bbq",Bbq,,,,,,From Living Blues Festival Guide 2026
338,"September 25-27, 2026",816.760.2278,,"Kansas City, Bbq",Bbq,,"www.18thandvineartsfestival.comBuds, Blues & BBQ",,,,From Living Blues Festival Guide 2026
339,"Columbia, Missouri",,budsbluesandbbq.com,Lake of the Ozarks Blues Festival,Tba,,,,,,From Living Blues Festival Guide 2026
340,Great American Campground & Dive Bar,,lotobs.com,"Gravois Mills, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
341,Coleman Hawkins Park,,Big Muddy Blues Festival,"St. Joseph, Tba",Tba,,www.colemanhawkins.org,,,,From Living Blues Festival Guide 2026
342,Laclede’s Landing,314.695.3797,bigmuddybluesfestival.com,"St. Louis, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
343,"Hermann, Missouri",573.789.0771,,hermannjazz.com,Tba,,,,,,From Living Blues Festival Guide 2026
344,"Blues, Brews and Barbecue","June 20, 2026",,"Butte, MT",MT,406.859.3388,,,,,From Living Blues Festival Guide 2026
345,montanafolkfestival.com,"July 31-August 2, 2026",Big Sky Blues Festival,"Noxon, MT",MT,,www.bigskybluesfest.com,,,,From Living Blues Festival Guide 2026
346,"Libby, Montana","August 21-22, 2026",riverfrontbluesfestival.com,River City Roots Festival,MT,406.543.4238,www.rivercityrootsfestival.comSymes Hot Springs Blues Festival,,,,From Living Blues Festival Guide 2026
347,"Hot Springs, Montana",,HotSpringsBluesFestival,Tba,Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
348,Playing with Fire,"April 18 & August 13-15, 2026",,"Lincoln, NE",NE,,www.playingwithfir,,,,From Living Blues Festival Guide 2026
349,zoobar.com,"July 31-August 1, 2026",In the Market for Blues,"Omaha, NE",NE,,,,,,From Living Blues Festival Guide 2026
350,"Omaha, Nebraska",402.968.0984,Soaring Wings Blues Fest,hallinscorp.com,NE,,,,,,From Living Blues Festival Guide 2026
351,Soaring Wings Vineyard,402.943.6238,soaringwings.com,"Springfield, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
352,Reno Jazz Festival,"April 23-25, 2026",,"April 24-26, NV",NV,775.784.4278,www.unr.edu/jazz-festival,,,,From Living Blues Festival Guide 2026
353,Pioneer Saloon,,nevadabluesfestival.com,"Goodsprings, NV",NV,,,,,,From Living Blues Festival Guide 2026
354,"Reno, Nevada",,brews-and-blues-festival,Jazz and Beyond – Carson City Music,NV,775.883.4154,www.caesars.com/reno/events/bbq-,,,,From Living Blues Festival Guide 2026
355,jazzcarsoncity.com,"September 2-7, 2026",Best in the West Nugget Rib Cook-Off,Nugget Casino Resort,NV,888.868.4438,www.nuggetribcookoff.com,,,,From Living Blues Festival Guide 2026
356,"September 10-13, 2026",,Westgate Las Vegas Resort & Casino,"Las Vegas, NV",NV,,,,,,From Living Blues Festival Guide 2026
357,White Mountain Boogie n’ Blues Festival,"August 14-16, 2026",,"August 22, NH",NH,603.726.3867,www.whitemountain,,,,From Living Blues Festival Guide 2026
358,"Londonderry, New Hampshire",603.303.0352,,"Portsmouth, NH",NH,,www.facebook.com/p/,,,,From Living Blues Festival Guide 2026
359,Granite State Blues Festival,,,NH,NH,,,,,,From Living Blues Festival Guide 2026
360,Veterans Memorial Park,"February 6, 2026",granitestateblues.orgNEW JERSEY,"Manchester, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
361,Exit Zero Jazz Festival,"May 15-17, 2026",,"Augusta, Tba",Tba,,www.exitzerojazzfestival.com,,,,From Living Blues Festival Guide 2026
362,Jersey City Jazz Festival,"May 29-31, 2026",Plaza,Hudson River Waterfront at Exchange Place,Tba,,www.riverviewjazz.org,,,,From Living Blues Festival Guide 2026
363,"Freehold, New Jersey","June 24-September 7, 2026",mcdiversityalliance.com,Tony Mart Presents,Tba,609-653-6069,,,,,From Living Blues Festival Guide 2026
364,"Rock, Ribs, and Ridges Festival","June 26-28, 2026",,"FBAC Jazz, Tba",Tba,973.882.8240,,,,,From Living Blues Festival Guide 2026
365,"July 5-August 30, 2026",732.333.0094,,"North Wildwood, Tba",Tba,,www.downtownfreehold.com,,,,From Living Blues Festival Guide 2026
366,angleseablues.comJersey Gumbo Cookoff & Louisiana Music,"July 13, 2026",Festival,"Somers Point, Tba",Tba,609-653-6069,www.tonymart.com,,,,From Living Blues Festival Guide 2026
367,"Morristown, New Jersey",,Montclair Jazz Festival,Long Branch Jazz & Blues Festival,Tba,973.744.2273,www.montclairjazzfestival.org,,,,From Living Blues Festival Guide 2026
368,"August 29, 2026","August 29, 2026",jsjbf.org,"Long Branch, Tba",Tba,,www.njfolkfest.org,,,,From Living Blues Festival Guide 2026
369,Kean University Jazz & Roots Music,,Festival,Tba,Tba,,,,,,From Living Blues Festival Guide 2026
370,"The Lawn at Enlow Hall, Kean University",908.737.5326,,"Union Township, Tba",Tba,,www.kean.edu/jazz-roots,,,,From Living Blues Festival Guide 2026
371,"Marlboro, New Jersey",,VeteransBluesandBBQFestival,Beverly Blues Festival,Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
372,Riverfront Park,609.479.3093,haaffamilyarts.org,"Beverly, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
373,Crawdaddy Blues Fest,"May 16-17, 2026",,"Madrid, NM",NM,505.473.0743,www.themineshafttavern.com,,,,From Living Blues Festival Guide 2026
374,"May 23-24, 2026",575.538.2505,Gough Park,"Silver City, NM",NM,,www.silvercitybluesfestival.org,,,,From Living Blues Festival Guide 2026
375,"Farmington, New Mexico",505.320.0615,Bernalillo Blues Festival,nwnmac.org,NM,,www.bernalilloblues.com,,,,From Living Blues Festival Guide 2026
376,"Las Cruces, New Mexico",,Roswell Jazz Festival,New Mexico Jazz Festival,NM,505.359.4876,www.roswelljazz.org,,,,From Living Blues Festival Guide 2026
377,Outpost Performance Space,505.268.0044,outpostspace.org,"Albuquerque, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
378,Winter Blues Weekend,"January 16-18, 2026",,"Ellicottville, NY",NY,800.349.9099,www.ellicottvilleny.com/events/winter-,,,,From Living Blues Festival Guide 2026
