rank,festival,date,venue,city,state,phone,website,status,booking_contact,email,notes
173,Artscape,"May 23-24, 2026",Hub City Brewery,Baltimore,MD,240.347.4647,www.artscape.orgWestern Maryland Blues Fest,,,,From Living Blues Festival Guide 2026
174,"August 8, 2026","September 18-20, 2026",Concord Point Park,Havre de Grace,MD,410.677.1916,www.hdgcoloredschool.com,,,,From Living Blues Festival Guide 2026
175,Baltimore AFRAM,"June 19-21, 2026",Druid Hill Park,Baltimore,MD,,www.silverspringblues.com,,,,From Living Blues Festival Guide 2026
176,"Baltimore, Maryland",,,,MD,,www.mojoworkin.com,,,,From Living Blues Festival Guide 2026
177,Eastern’s Bayside Blues & Wine Festival,TBA,Eastern Yacht Club,Baltimore,MD,,,,,,From Living Blues Festival Guide 2026
178,Greenbelt Blues Festival,TBA,Groove City Culture Fest,Greenbelt,MD,443.225.0819,www.facebook.com/GreenbeltBluesFest,,,,From Living Blues Festival Guide 2026
179,HCA Winter BluesFest,"January 17, 2026",Hopkinton Center for the Arts,Hopkinton,MD,508.435.9222,www.hopartscenter.org,,,,From Living Blues Festival Guide 2026
180,John Alden Sportsmen’s Club,TBA,RhythmRoomEntertainment,Plymouth,MD,781.254.5986,www.facebook.com/,,,,From Living Blues Festival Guide 2026
181,"North Adams, Massachusetts",TBA,freshgrassfestival.com,Gloucester Blues Festival,MD,207.691.0825,,,,,From Living Blues Festival Guide 2026
182,RhythmRoomEntertainment,TBA,Stone Soul Festival,Springfield,MD,,www.outermostfestival.com,,,,From Living Blues Festival Guide 2026
183,"Salisbury, Massachusetts","April 24-26, 2026",New England Folk Festival,Best Western Royal Plaza Hotel and Trade,MD,978.462.5888,www.blueoceanhall.com,,,,From Living Blues Festival Guide 2026
184,Springfield Jazz & Roots Festival,"July 10-11, 2026",springfieldjazzfest.com,Springfield,MD,,,,,,From Living Blues Festival Guide 2026
185,"Springfield, Massachusetts","August 15, 2026",Salem Jazz & Soul Festival,Salem Willows,MD,,www.springfieldjazzbluesfest.com,,,,From Living Blues Festival Guide 2026
186,williamstownbluesandrootsfestival,"August 22, 2026",North River Blues Festival,Marshfield Fair,MD,781.834.6629,,,,,From Living Blues Festival Guide 2026
187,"Lisbon Falls, Maine",,,,ME,,www.mainebluesfestival.com,,,,From Living Blues Festival Guide 2026
188,North Atlantic Blues Festival,"July 11-12, 2026",Public Landing,Rockland,ME,207-691-0825,www.northatlanticbluesfestival.com,,https://www.northatlanticbluesfestival.com/info/,benjaminproductions1953@gmail.com,"Produced by Benjamin Productions. Rockland, ME."
189,"Waterboro, Maine",207.247.6166 x 125,yorkcountybluesfest.com,Auburn Blues & Brews,ME,207.333.6601,www.auburnblues.com,,,,From Living Blues Festival Guide 2026
190,ossipeevalley.com,"August 8, 2026",Mountain Valley Stomp,Mountain View Campground,ME,207.310.4010,,,,,From Living Blues Festival Guide 2026
191,Alpena Blues Festival,"June 20, 2026",Alpena Bandshell,Alpena,MI,,www.alpenablues.org,,,,From Living Blues Festival Guide 2026
192,"April 18, 2026",25th Annual Jackson Blues Festival,The Ark,Ann Arbor,MI,517.962.5939,www.facebook.com/JacksonBluesfest,,,,From Living Blues Festival Guide 2026
193,"City of Westland Blues, Brews &","August 7-8, 2026",Barbecue,Westland,MI,734.713.3888,www.bluesbrewsbarbecue.com,,,,From Living Blues Festival Guide 2026
194,Detroit Bourbon & Blues,"August 23, 2026",Eastern Market Shed 5,Detroit,MI,,www.detroitbourbonandblues.com,,,,From Living Blues Festival Guide 2026
195,Detroit Jazz Festival,"September 4-7, 2026",Brighton’s Smokin’,Detroit,MI,313.469.6564,www.detroitjazzfest.org,,,,From Living Blues Festival Guide 2026
196,Houghton Lake Blues Festival,"July 17-18, 2026",php?id=100057573125970,Houghton Lake,MI,586.634.6376,www.facebook.com/profile.,,,,From Living Blues Festival Guide 2026
197,"January 30-31, 2026","March 21, 2026",theark.org18th Annual Motor City Blues Festival,Ann Arbor,MI,734.761.1818,www.313presents.com,,,,From Living Blues Festival Guide 2026
198,JazzFest Michigan,"August 5-8, 2026",Old Town,Lansing,MI,,www.micharts.org,,,,From Living Blues Festival Guide 2026
199,"July 10-11, 2026","July 10-12, 2026",Old Dog Tavern,Kalamazoo,MI,231.348.7047,,,,,From Living Blues Festival Guide 2026
200,"July 19, 2026","July 23-25, 2026",Schoolcraft College,Livonia,MI,586.446.2470,www.sterlingheights.gov/2138/,,,,From Living Blues Festival Guide 2026
201,Michigan FunkFest,"June 12-13, 2026",Old Town,Lansing,MI,269.623.5555,www.micharts.org,,,,From Living Blues Festival Guide 2026
202,brightonsmokinfestival/homeMichigan BluesFest,"September 16-19, 2026",Old Town,Lansing,MI,,www.micharts.org,,,,From Living Blues Festival Guide 2026
203,Beat the Winter Blues & Jazz Festival,"February 6, 2026",Gathered Oaks,Alexandria,MN,,www.eventbrite.com/e/beat-the-,,,,From Living Blues Festival Guide 2026
204,Belgrade-100054284959304,,,,MN,,,,,,From Living Blues Festival Guide 2026
205,"Madelia, Minnesota",37th Annual Bayfront Blues Festival,Bayfront Festival Park,August 14-16,MN,715.817.6933,www.visitmadelia.com,,,,From Living Blues Festival Guide 2026
206,"September 12-13, 2026","September 17-20, 2026",Minnesota Square Park,St. Peter,MN,,www.rockbend.orgNorth Star Blues 2026,,,,From Living Blues Festival Guide 2026
207,"St. Paul, Minnesota","July 10-11, 2026",Rhythm of the River,Fort Belmont,MN,,www.twincitiesjazzfestival.com,,,,From Living Blues Festival Guide 2026
208,"St. Peter, Minnesota","June 13, 2026",Delano Sculpture & Blues Fest,Delano Sculpture Park,MN,,www.stpeterambassadors.com,,,,From Living Blues Festival Guide 2026
209,CWE Jazz & Blues Festival,"August 15, 2026",cwescene.com/cwe-jazz-and-blues-festival,St. Louis,MO,573.454.2617,,,,,From Living Blues Festival Guide 2026
210,"Columbia, Missouri",TBA,budsbluesandbbq.com,Lake of the Ozarks Blues Festival,MO,,,,,,From Living Blues Festival Guide 2026
211,"Hermann, Missouri",,hermannjazz.com,,MO,573.789.0771,,,,,From Living Blues Festival Guide 2026
212,Homelessness,"June 13, 2026",Vietnam Veterans American Legion Post 639,Springfield,MO,314.881.2015,,,,,From Living Blues Festival Guide 2026
213,"March 20, 2026","April 24-26, 2026",Chaifetz Arena,St. Louis,MO,636.239.1743,www.downtownwashmo.org,,,,From Living Blues Festival Guide 2026
214,Missouri Blues Fest,"January 9, 2026",The Blue Note,Columbia,MO,573.874.1944,,,,,From Living Blues Festival Guide 2026
215,"St. Joseph, Missouri",TBA,Big Muddy Blues Festival,Laclede’s Landing,MO,314.695.3797,www.colemanhawkins.org,,,,From Living Blues Festival Guide 2026
216,discoverfarmingtonmo.com,"September 19, 2026",Old Webster Jazz & Blues Festival,St. Louis,MO,816.760.2278,"www.18thandvineartsfestival.comBuds, Blues & BBQ",,,,From Living Blues Festival Guide 2026
217,"August 28-29, 2026",8th Red’s Old Timers Blues Festival,Northwest Shrine Club,Coldwater,MS,,,,,,From Living Blues Festival Guide 2026
218,Backyard Blues Party,"October 11, 2026",Bluesberry Cafe,Clarksdale,MS,662.627.7008,www.facebook.com/BluesberryCafe,,,,From Living Blues Festival Guide 2026
219,Bad Apple Blues Club,"May 24, 2026",Wall Hill Blues Fest,Clarksdale,MS,901.268.7007,www.facebook.com/badapplebluesclub,,,,From Living Blues Festival Guide 2026
220,"Belzoni, Mississippi",,,,MS,,www.catfishcapitol.com,,,,From Living Blues Festival Guide 2026
221,Blues is Alright,"March 13, 2026",Cadence Bank Arena,Tupelo,MS,,www.unityfestivalinc.org,,,,From Living Blues Festival Guide 2026
222,Burnside Music Festival,"June 6, 2026",visitripleyms.com,Ripley,MS,662.512.0226,,,,,From Living Blues Festival Guide 2026
223,Cat Head Mini Blues Fest II,"October 11, 2026",,Clarksdale,MS,662.624.5992,www.cathead.biz,,,,From Living Blues Festival Guide 2026
224,Clarksdale Caravan Music Fest,"May 9, 2026",Pinetop Boogie and Crawfish Boil,Clarksdale,MS,,www.clarksdalecaravan.com,,,,From Living Blues Festival Guide 2026
225,"Clarksdale, Mississippi","April 10-11, 2026",Catfish in the Alley,Columbus,MS,800.327.2686,www.jukejointfestival.com,,,,From Living Blues Festival Guide 2026
226,"Columbus, Mississippi","May 2, 2026",Washington County Convention Center,Greenville,MS,662.328.6305,www.marketstreetfestival.comPre-Mother’s Day Extravaganza,,,,From Living Blues Festival Guide 2026
227,"Corinth, Mississippi","May 7-9, 2026",Jimmie Rodgers Music Festival,Meridian,MS,601.938.7427,www.facebook.com/pg.tavern.2023,,,,From Living Blues Festival Guide 2026
228,"Duck Hill, Mississippi","July 11, 2026",Laurel Blues Festival,Laurel Fairgrounds,MS,,www.facebook.com/grassrootsblues,,,,From Living Blues Festival Guide 2026
229,Experience & Blues Showcase,"June 16-19, 2026",Ground Zero Blues Club,Hopson Commissary,MS,,,,,,From Living Blues Festival Guide 2026
230,Gateway to the Delta Festival,"October 10, 2026",charlestongatewayfe,Charleston,MS,662.647.0942,,,,,From Living Blues Festival Guide 2026
231,"Greenville, Mississippi","September 25-26, 2026",Mighty Roots Music Festival,Stovall,MS,662.534.1010,www.facebook.com/MSDeltaBlues,,,,From Living Blues Festival Guide 2026
232,"Greenwood, Mississippi","August 7-9, 2026",Sunflower River Blues & Gospel Festival,Clarksdale,MS,662.453.4152,www.bikesbluesbayous.com,,,,From Living Blues Festival Guide 2026
233,"Hattiesburg, Mississippi","May 10, 2026",purplepass.com/rhythmnsoulpicnic,Mother’s Day Blues Festival,MS,601.410.2995,www.facebook.com/,,,,From Living Blues Festival Guide 2026
234,Hill Country Boucherie and Blues Picnic,TBA,Home Place Pastures,Como,MS,662.275.7819,,,,,From Living Blues Festival Guide 2026
235,Historic Mobile Street Renaissance,TBA,Festival,Hattiesburg,MS,662.781.1282,,,,,From Living Blues Festival Guide 2026
236,"Jackson, Mississippi","July 28-August 2, 2026",jmaainc.com,Jus’ Blues Music Foundation Awards,MS,678.403.1993,"www.jusblues.orgBikes, Blues & Bayous",,,,From Living Blues Festival Guide 2026
237,Jessie Mae Hemphill Hill Country Blues,"September 26, 2026",Festival,Crossroads Cultural Arts Center,MS,662.347.4223,,,,,From Living Blues Festival Guide 2026
238,"March 21, 2026","March 28, 2026",mainstreetwatervalley.org,Water Valley,MS,601.296.7500,,,,,From Living Blues Festival Guide 2026
239,"May 16, 2026","May 21-24, 2026",Playing Contest & Festival,Clarksdale,MS,662.801.2251,www.womeninblues.orgWorld Championship Old- Time Piano,,,,From Living Blues Festival Guide 2026
240,"May 22-23, 2026","May 23, 2026",Ground Zero Blues Club,Clarksdale,MS,662.444.6164,www.groundzerobluesclub.com,,,,From Living Blues Festival Guide 2026
241,"May 9, 2026","May 10, 2026",Entergy Plaza at the Two Mississippi,Museums,MS,601.576.6800,,,,,From Living Blues Festival Guide 2026
242,Memorial Day Southern Soul Blues Fest,"May 23, 2026",Sam Coopwood Park,Holly Springs,MS,662.216.3005,www.eventbrite.com/e/nikki-jones-,,,,From Living Blues Festival Guide 2026
243,Mississippi Coliseum,"May 1-3, 2026",bluesisalright.com,Jackson,MS,,,,,,From Living Blues Festival Guide 2026
244,Mississippi John Hurt Homecoming,TBA,Festival,Avalon,MS,,www.msjohnhurtfoundation.org,,,,From Living Blues Festival Guide 2026
245,Money Road Unity Festival,TBA,Booker Fest,Greenwood,MS,662.299.9150,www.awesomeam.com,,,,From Living Blues Festival Guide 2026
246,Natchez Festival of Music,"December 5, 2025 - May 16, 2026",Clarksdale Film & Music Festival,Natchez,MS,662.624.5992,www.natchezfestivalofmusic.com,,,,From Living Blues Festival Guide 2026
247,National Folk Festival,"November 13-15, 2026",New Year’s at the Crossroads,Jackson,MS,662.624.5992,www.nationalfolkfestival.com,,,,From Living Blues Festival Guide 2026
248,Oktoberfest,TBA,Carthage Coliseum,Carthage,MS,662.726.4456,www.leakems.com,,,,From Living Blues Festival Guide 2026
249,On the grounds of Studio-B,TBA,awesomeam.com,Columbus,MS,662.827.2241,www.facebook.com/SamChatmonBlues,,,,From Living Blues Festival Guide 2026
250,Oxford Blues Festival,"September 12, 2026",oxfordbluesfest.org,Oxford,MS,662.202.4345,,,,,From Living Blues Festival Guide 2026
251,"Oxford, Mississippi","April 24-25, 2026",doubledeckerfestival.com,Natchez Trace Festival,MS,662.289.2981,www.kosciuskoattalapartnership.org,,,,From Living Blues Festival Guide 2026
252,Quitman County Mules & Blues Fest,"October 9-10, 2026",mules-bluesfest.org,Marks,MS,662.369.9440,,,,,From Living Blues Festival Guide 2026
253,Son House Tribute Festival,"May 28-30, 2026",Tupelo Elvis Festival,Clarksdale,MS,662.841.6598,www.sonhousetributefestival.com,,,,From Living Blues Festival Guide 2026
254,"Southaven, Mississippi","October 17, 2026",bluesisalright.com,Clarksdale Crossroads Blues Festival,MS,662.627.6149,www.visitclarksdale.com,,,,From Living Blues Festival Guide 2026
255,St. Rose de Lima,TBA,Catholic Church,Bay St. Louis,MS,228.467.7347,www.facebook.com/SaintRoseDeLimaBSL,,,,From Living Blues Festival Guide 2026
256,Super Blues Sunday,"October 11, 2026",Pinetop Perkins Homecoming Celebration,Clarksdale,MS,662.624.5992,www.cathead.biz,,,,From Living Blues Festival Guide 2026
257,Walthall Park,"April 23 & 25, 2026",dcjhburg.com,Hattiesburg,MS,601.877.3926,www.alcorn.edu/jazzfest,,,,From Living Blues Festival Guide 2026
258,Wing Dang Doodle Festival,TBA,Gaddis Park,Forest,MS,601.469.4332,www.wingdangdoodlefestival.com,,,,From Living Blues Festival Guide 2026
259,deltawilliamsfestival.com,"October 16-17, 2026",Delta Hot Tamale Festival,Greenville,MS,662.378.3121,www.mainstreetgreenville.com,,,,From Living Blues Festival Guide 2026
260,harris-fathers-day-blues-tailgate-festival-,2026-tickets-1980782663267,North Mississippi Hill Country Picnic,June 26-27,MS,,,,,,From Living Blues Festival Guide 2026
261,visityazoo.org,"June 19-21, 2026",Birthplace of American Music Festival,Clarksdale,MS,662.621.2221,,,,,From Living Blues Festival Guide 2026
262,"Blues, Brews and Barbecue","June 20, 2026",philipsburgmt.com,Philipsburg,MT,406.859.3388,,,,,From Living Blues Festival Guide 2026
263,"July 31-August 2, 2026","August 7-8, 2026",Riverfront Blues Festival,Noxon,MT,,www.bigskybluesfest.com,,,,From Living Blues Festival Guide 2026
264,"Missoula, Montana",TBA,HotSpringsBluesFestival,Hot Springs,MT,406.543.4238,www.rivercityrootsfestival.comSymes Hot Springs Blues Festival,,,,From Living Blues Festival Guide 2026
265,"April 23-26, 2026","April 25, 2026",Wilkes Community College,Wilkesboro,NC,252.726.6273,www.ncseafoodfestival.org,,,,From Living Blues Festival Guide 2026
266,Biscuits and Banjos Presents Rhiannon,"April 27, 2026",Giddens’ Beloved Community,Durham Performing Arts Center,NC,,www.biscuitsandbanjos.com,,,,From Living Blues Festival Guide 2026
267,Black Mountain Blues Experience,"September 25-27, 2026",blackmountainblues.org,Black Mountain,NC,252.255.1234,,,,,From Living Blues Festival Guide 2026
268,"June 12-14, 2026","July 25, 2026",The Rusty Nail,Wilmington,NC,,www.capefearblues.org,,,,From Living Blues Festival Guide 2026
269,"March 7, 2026",,Ovens Auditorium,Charlotte,NC,,,,,,From Living Blues Festival Guide 2026
270,Music Maker’s Freight Train Blues,"May 15-June 12, 2026",Carrboro Town Commons,Carrboro,NC,,,,,,From Living Blues Festival Guide 2026
271,North Carolina Jazz Festival,"February 5-7, 2026",ncjazzfestival.org,Wilmington,NC,910.399.6536,,,,,From Living Blues Festival Guide 2026
272,Seven Springs Farm & Vineyard,"September 5-6, 2026",lawn-chair-and-tents-only-tickets-253684,Norlina,NC,336.819.5299,www.simpletix.com/e/bbq-blues-brews-,,,,From Living Blues Festival Guide 2026
273,coltranejazzfest.com,"September 12, 2026",Eno River Association’s 60th Anniversary,Celebration,NC,,www.ncfolkfestival.com,,,,From Living Blues Festival Guide 2026
274,duck-jazz-festival,TBA,New River Blues Festival,River House Inn,NC,,,,,,From Living Blues Festival Guide 2026
275,"August 7-8, 2026","August 15, 2026",Dayton African American Cultural Festival,Springfield,ND,937.715.5121,www.springfieldjazzbluesfest.com,,,,From Living Blues Festival Guide 2026
276,"Blues, Brews & Brats","July 25, 2026",awarotarybbb.com,Waterville,ND,513.268.6069,,,,,From Living Blues Festival Guide 2026
277,Buggies-N-Blues,"June 12-14, 2026",Fargo Blues Festival,Mandan,ND,701.751.2983,www.buggies-n-blues.org,,,,From Living Blues Festival Guide 2026
278,Cincinnati Winter Blues Experience VII,"February 7, 2026",Manor House,Mason,ND,513.836.1118,,,,,From Living Blues Festival Guide 2026
279,"Cleveland, Ohio","April 11, 2026",thetreelawn.com,GACBS Bluesfest,ND,216.677.8733,www.facebook.com/,,,,From Living Blues Festival Guide 2026
280,"Granville, Ohio",100063491472764,CBUS Soul Fest,September 4-5,ND,,www.facebook.com/p/HotLicks-Bluesfest-,,,,From Living Blues Festival Guide 2026
281,"July 11-12, 2026","July 18, 2026",Village Green Park,Fairfield,ND,513.739.2583,www.kentbluesfest.com,,,,From Living Blues Festival Guide 2026
282,"July 24-26, 2026","July 24-25, 2026",West Bank Park &,Bicentennial Park,ND,614.270.5053,www.hotribscooljazz.org,,,,From Living Blues Festival Guide 2026
283,"June 4-6, 2026","June 19-21, 2026",Creekside Blues & Jazz Festival,Logan,ND,,www.loganwashboardfestival.com,,,,From Living Blues Festival Guide 2026
284,"Marion, Ohio",TBA,trublues975.com,Rubber City Jazz & Blues Festival,ND,,www.rubbercityjazz.org,,,,From Living Blues Festival Guide 2026
285,Pyramid Hill Sculpture Park & Museum,TBA,Big Bend Blues Bash,Hamilton,ND,513.868.8336,www.pyramidhill.org,,,,From Living Blues Festival Guide 2026
286,"Reynoldsburg, Ohio","September 11-13, 2026",Brews-Festival,Black Swamp Arts Festival,ND,614.322.6800,www.reynoldsburg.gov/342/Blues-and-,,,,From Living Blues Festival Guide 2026
287,River City Blues Festival,"March 20-21, 2026",The Lafayette Hotel,Marietta,ND,304.481.8389,,,,,From Living Blues Festival Guide 2026
288,Snow Fork Event Center,"June 26-27, 2026",nelsonvillefest.org,Nelsonville,ND,614.906.4700,www.bluesforacure.com,,,,From Living Blues Festival Guide 2026
289,levittdayton.org,,,,ND,,,,,,From Living Blues Festival Guide 2026
290,In the Market for Blues,"July 31-August 1, 2026",omahablues.com,Omaha,NE,402.968.0984,,,,,From Living Blues Festival Guide 2026
291,Playing with Fire,"April 18 & August 13-15, 2026",eomaha.net,Omaha,NE,402.435.8754,www.playingwithfir,,,,From Living Blues Festival Guide 2026
292,Soaring Wings Blues Fest,TBA,Soaring Wings Vineyard,Springfield,NE,402.968.0984,,,,,From Living Blues Festival Guide 2026
293,omahajazzfestival.com,,,,NE,,,,,,From Living Blues Festival Guide 2026
294,"August 29, 2026",TBA,Davidson’s Mill Pond Park,South Brunswick,NH,908.737.5326,www.njfolkfest.org,,,,From Living Blues Festival Guide 2026
295,"Cape May, New Jersey","May 29-31, 2026",Michael Arnone’s Crawfish Fest,Sussex County Fairgrounds,NH,,www.exitzerojazzfestival.com,,,,From Living Blues Festival Guide 2026
296,"FBAC Jazz, Blues & More Summer Concert","July 5-August 30, 2026",Series,Freehold,NH,732.333.0094,www.downtownfreehold.com,,,,From Living Blues Festival Guide 2026
297,Kennedy Plaza,"June 26-28, 2026",Sussex County Fairgrounds,Atlantic City,NH,973.882.8240,www.tonymart.com,,,,From Living Blues Festival Guide 2026
298,Londonderry-NH-Annual-Blues-,"August 22, 2026",Festival-100095031173414,Seacoast Jazz Festival,NH,,www.seacoastjazz.org,,,,From Living Blues Festival Guide 2026
299,Montclair Jazz Festival,"August 15, 2026",Long Branch Jazz & Blues Festival,Montclair,NH,973.744.2273,www.montclairjazzfestival.org,,,,From Living Blues Festival Guide 2026
300,Plaza,Juneteenth Celebration,mcdiversityalliance.com,Jersey City,NH,,www.riverviewjazz.org,,,,From Living Blues Festival Guide 2026
301,Veterans Music Fest,TBA,VeteransBluesandBBQFestival,Marlboro,NH,609.479.3093,www.facebook.com/,,,,From Living Blues Festival Guide 2026
302,White Mountain Boogie n’ Blues Festival,"August 14-16, 2026",boogie.com,Thornton,NH,603.303.0352,www.whitemountain,,,,From Living Blues Festival Guide 2026
303,angleseablues.comJersey Gumbo Cookoff & Louisiana Music,"July 13, 2026",Festival,Somers Point,NH,609-653-6069,www.tonymart.com,,,,From Living Blues Festival Guide 2026
304,granitestateblues.orgNEW JERSEY,"February 6, 2026",South Orange International Blues,Festival: Winter Edition,NH,973.313.2787,www.sopacnow.org,,,,From Living Blues Festival Guide 2026
305,haaffamilyarts.org,,,,NH,,,,,,From Living Blues Festival Guide 2026
306,Crawdaddy Blues Fest,"May 16-17, 2026",Mine Shaft Tavern,Madrid,NM,505.473.0743,www.themineshafttavern.com,,,,From Living Blues Festival Guide 2026
307,"May 23-24, 2026","June 6, 2026",Gough Park,Silver City,NM,505.320.0615,www.silvercitybluesfestival.org,,,,From Living Blues Festival Guide 2026
308,New Mexico Jazz Festival,TBA,Outpost Performance Space,Albuquerque,NM,505.268.0044,,,,,From Living Blues Festival Guide 2026
309,nwnmac.org,"June 20, 2026",Bernalillo Blues Festival,Bernalillo,NM,575.377.3232,www.bernalilloblues.com,,,,From Living Blues Festival Guide 2026
310,visitangelfirenm.com/event/bluewsfest,"October 1-4, 2026",Mesilla Valley Jazz & Blues Festival,Plaza de Mesilla,NM,505.359.4876,www.mvjazzblues.net,,,,From Living Blues Festival Guide 2026
311,Big Blues Bender,Sep 2026,,Reno,NV,,https://bigbluesbender.com/,,https://bigbluesbender.com/,,"No public email. Uses help portal. Curated festival, 2026 sold out."
312,Festival,"April 25-26, 2026",Clark County Government Amphitheater,Las Vegas,NV,,www.caesars.com/reno/events/bbq-,,,,From Living Blues Festival Guide 2026
313,Reno Jazz Festival,"April 23-25, 2026",Nevada Blues Festival,University of Nevada,NV,775.784.4278,www.unr.edu/jazz-festival,,,,From Living Blues Festival Guide 2026
314,"Sparks, Nevada","September 10-13, 2026",Big Blues Bender,Westgate Las Vegas Resort & Casino,NV,888.868.4438,www.nuggetribcookoff.com,,,,From Living Blues Festival Guide 2026
315,brews-and-blues-festival,"August 14-23, 2026",Jazz and Beyond – Carson City Music,Festival,NV,775.883.4154,,,,,From Living Blues Festival Guide 2026
316,nevadabluesfestival.com,,,,NV,,,,,,From Living Blues Festival Guide 2026
317,Grassroots Finger Lakes Festival,"Jul 16-19, 2026",,Trumansburg,NY,(607) 387-5098,https://www.frontstagefestivals.com/festival/grassroots-finger-lakes-festival-2026,,https://www.grassrootsfest.org/contact,info@grassrootsfest.org,"Also tickets@grassrootsfest.org, promo@grassrootsfest.org"
318,Great South Bay Music Festival,"Jul 23-26, 2026",,Patchogue,NY,631-331-0808,https://www.frontstagefestivals.com/festival/great-south-bay-music-festival-2026,,https://greatsouthbaymusicfestival.com/artist-submission/,Jfaith@JFaith.com,"Artist submissions: forward EPK to Ryan Adams with ""GSB Artist Submission"" in subject. Sponsorship: Jamie@JFaith.com / 631-946-2135"
319,Hudson River Park Blues BBQ Festival,TBA,Hudson River Park,New York,NY,212.627.2020,www.brooklynfolkfest.com,,,,From Living Blues Festival Guide 2026
320,"June 1-July 1, 2026","June 11-13, 2026",New York State Blues Festival,New York,NY,,www.bluenotejazz.com/jazz-festival-nyc,,,,From Living Blues Festival Guide 2026
321,"June 18-20, 2026","July 9, 16, 23 & 30, 2026",juneteenthny.com,Brooklyn,NY,212.417.2000,,,,,From Living Blues Festival Guide 2026
322,Lima Crossroads Festival,"July 30-August 2, 2026",limafest.org,Lima,NY,,www.chenangobluesfest.org,,,,From Living Blues Festival Guide 2026
323,Louis Engel Waterfront Park,"September 12, 2026",Blues on the Bridge,Ossining,NY,,www.uptheriverbluesfestival.com,,,,From Living Blues Festival Guide 2026
324,On hiatus until 2027,TBA,Bellayre Mountain,Highmount,NY,716.342.2292,,,,,From Living Blues Festival Guide 2026
325,Rochester Jazz Festival,Summer 2026,,Rochester,NY,(585) 454-2060,https://festt.io/en/festivals/rochester-jazz-festival-2026-2026,,https://rochesterjazz.com/contact/,info@rochesterjazz.com,Artist/Manager submissions section on contact page (currently closed)
326,"September 4-7, 2026","September 11-12, 2026",visitalexbay.org/blues-in-the-bay,Alexandria Bay,NY,315.482.9531,,,,,From Living Blues Festival Guide 2026
327,Washington Square Park Folk Festival,TBA,Greenwich Village,New York,NY,,www.wspfolkfest.com,,,,From Living Blues Festival Guide 2026
328,Winter Blues Weekend,"January 16-18, 2026",blues-weekend,Ellicottville,NY,800.349.9099,www.ellicottvilleny.com/events/winter-,,,,From Living Blues Festival Guide 2026
329,Cincy Blues Challenge,"Jun 14, 2026",,Cincinnati,OH,(513) 739-2583,https://cincyblues.org/2026/05/18/cincy-blues-challenge-call-for-entries-18/,,https://cincyblues.org/challenge/,,Contact via form at cincyblues.org/contact
330,Bixby Rotary BBQ’n Blues Festival,"May 14-16, 2026",Washington Irving Memorial Park,Bixby,OK,918.200.9703,www.bixbyrotarybbq.com,,,,From Living Blues Festival Guide 2026
331,Rentiesville Dusk til Dawn Blues Festival,"September 4-6, 2026",Oklahoma Blues Hall of Fame,Rentiesville,OK,,,,,,From Living Blues Festival Guide 2026
332,"Medford, Oregon",,,,OR,,www.rogueblues.org,,,,From Living Blues Festival Guide 2026
333,Pickathon,"July 30-August 2, 2026",Pendarvis Farm,Happy Valley,OR,541.563.3500,,,https://pickathon.com/info/contact-pickathon/,info@pickathon.com,Press: press@pickathon.com. Volunteer: volunteer@pickathon.com
334,Rose City Blues,"February 20-22, 2026",Alberta Abbey,Portland,OR,503.880.7171,,,,,From Living Blues Festival Guide 2026
335,Waterfront Blues Festival,"July 2-4, 2026",Tom McCall Waterfront Park,Portland,OR,541.469.2218,,,,,From Living Blues Festival Guide 2026
336,findyourselfinwaldport.com,"October 7-11, 2026",Blues in the Gorge,Menucha Retreat and Conference Center,OR,503.695.2243,,,,,From Living Blues Festival Guide 2026
337,winterbluesfest.net,"April 3-4, 2026",Seaside Jazz & Blues Festival,Seaside Convention Center,OR,503.997.4902,www.seaside138.com,,,,From Living Blues Festival Guide 2026
338,"August 14-16, 2026","August 29, 2026",Old Pool Farm,Harleysville,PA,610.444.1416,,,,,From Living Blues Festival Guide 2026
339,Billtown Blues Audition,2026,,,PA,,https://www.billtownblues.org/2026-audition-concert-application,,https://www.billtownblues.org/2026-audition-concert-application,kendall.palmatier@gmail.com,"PA-based blues musicians only. Email subject must say ""BBA Audition Application"""
340,"Briggsville, Pennsylvania","July 11-12, 2026",Pittsburgh Music Festival,Creighton,PA,570.379.3342,www.briggsfarm.com,,,,From Living Blues Festival Guide 2026
341,Delaney Chevrolet Westsylvania Jazz &,"May 22-23, 2026",Blues Festival,Indiana,PA,724.465.2787,,,,,From Living Blues Festival Guide 2026
342,Flood City Festival,"Jul 24-25, 2026",,Johnstown,PA,,https://www.frontstagefestivals.com/festival/flood-city-festival-2026,,,,Found via web search
343,"July 24-25, 2026","August 1-2, 2026",Erie’s Blues & Jazz Festival,Johnstown,PA,814.539.1889,www.floodcitymusic.com,,,,From Living Blues Festival Guide 2026
344,"June 20, 2026","June 20-21, 2026",honesdalerootsandrhythm.comFranklin Blues & Barbecue Festival,Honesdale,PA,412.585.0360,www.franklinbluesandbbq.org,,,,From Living Blues Festival Guide 2026
345,LancasterRootsAndBlues,"March 19-29, 2026",Boscov’s Berks Jazz Fest,Reading,PA,610.898.1930,www.berksjazzfest.com,,,,From Living Blues Festival Guide 2026
346,Lehigh River Blues Jam,"January 31, 2026",Days Hotel,Allentown,PA,717.826.9786,www.facebook.com/,,,,From Living Blues Festival Guide 2026
